"Resultaten 1-476 van 476 voor 'Status voorkomen=2a,2b,2c,2d,2; Habitat=zoet water,zout water'"

"wetenschappelijke naam"	"populaire naam"	"status voorkomen"	"link"	
"Chelicorophium curvispinum (Sars, 1895)"	"Kaspische slijkgarnaal"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143300"	
"Chelicorophium robustum (Sars, 1895)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174734"	
"Chelicorophium sowinskyi Martynov, 1924"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174735"	
"Chelydra serpentina (Linnaeus, 1758)"	"Bijtschildpad"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=185330"	
"Chenonetta jubata (Latham, 1801)"	"Manengans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177319"	
"Cherax quadricarinatus (von Martens, 1868)"	"Australische roodklauwkreeft"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177251"	
"Chloephaga hybrida (Molina, 1782)"	"Kelpgans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177320"	
"Chloephaga picta (Gmelin, 1789)"	"Magelhaengans"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172142"	
"Chloephaga rubidiceps Sclater, 1861"	"Roodkopgans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177321"	
"Chydorus brevilabris Frey, 1980"	"Amerikaanse kogelwatervlo"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183436"	
"Ciconia abdimii Lichtenstein, 1823"	"Abdims ooievaar"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177323"	
"Cipangopaludina chinensis (Gray, 1834)"	"Chinese moerasslak"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171539"	
"Codium fragile (Suringar) Har."	"Viltwier"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116858"	
"Codium fragile subsp. atlanticum (Cotton) P.C.Silva"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178899"	
"Codium fragile subsp. fragile (Suringar) Har."	"Viltwier"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178898"	
"Colaconema dasyae (Collins) Stegenga, Mol, Prud'Homme & Lokhorst"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116666"	
"Colpomenia peregrina Sauv."	"Oesterdief"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=117256"	
"Conchoderma auritum (Linnaeus, 1767)"	"Geoorde eendemossel"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144179"	
"Conchoderma virgatum (Spengler, 1790)"	"Gestreepte eendemossel"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144178"	
"Corambe obscura Verrill, 1870"	"Zuiderzee-schijfslak"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137564"	
"Corbicula fluminalis (Müller, 1774)"	"Toegeknepen korfmossel"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137188"	
"Corbicula fluminea (Müller, 1774)"	"Aziatische korfmossel"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137187"	
"Cordylophora caspia (Pallas, 1771)"	"Brakwaterpoliep"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140488"	
"Corella eumyota Traustedt, 1882"	"Chileense zakpijp"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138812"	
"Corophium multisetosum Stock, 1952"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143299"	
"Corynophlaea verruculiformis (Y.-P.Lee & I.K.Lee) Y.-P.Lee"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=117227"	
"Coscinodiscus wailesii Gran & Angst"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178889"	
"Cotula coronopifolia L."	"Goudknopje"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119744"	
"Crangonyx pseudogracilis Bousfield, 1958"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143276"	
"Craspedacusta sowerbii Lankester, 1880"	"Zoetwaterkwal"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140684"	
"Crassicauda boopis Baylis, 1920"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=175975"	
"Crassostrea virginica (Gmelin, 1791)"	"Amerikaanse oester"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137374"	
"Crepidula fornicata (Linnaeus, 1758)"	"Muiltje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137435"	
"Cryptorchestia cavimana (Heller, 1865)"	""	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143352"	
"Ctenopharyngodon idella (Valenciennes, 1844)"	"Graskarper"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138728"	
"Cuspidaria cuspidata (Olivi, 1792)"	"Pollepelschelp"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=186476"	
"Cyanochen cyanoptera (Rüppell, 1845)"	"Blauwvleugelgans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177326"	
"Cygnus atratus Latham, 1790"	"Zwarte zwaan"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139917"	
"Cygnus buccinator Richardson, 1832"	"Trompetzwaan"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177327"	
"Cygnus melancoryphus (Molina, 1782)"	"Zwarthalszwaan"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177328"	
"Cymodoce truncata Leach, 1814"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143596"	
"Cyprinus carpio Linnaeus, 1758"	"Karper"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138749"	
"Damasonium alisma Mill."	"Stervruchtige waterweegbree"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119494"	
"Daphnia ambigua Scourfield, 1946"	"Amerikaanse watervlo"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144123"	
"Daphnia parvula Fordyce, 1901"	"Kleine watervlo"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144132"	
"Dasya baillouviana (S.G.Gmel.) Mont. in Webb & Berthel."	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116480"	
"Dasya sessilis Yamada, 1928"	"Gedrongen zeehoornblad"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182641"	
"Dasysiphonia japonica (Yendo) H.S.Kim"	"Veelvertakt pluimwier"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178831"	
"Dasysiphonia sp."	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116477"	
"Dendrocoelum romanodanubiale (Codreanu, 1949)"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140200"	
"Dendrocygna arborea (Linnaeus, 1758)"	"West-Indische fluiteend"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177329"	
"Dendrocygna arcuata (Horsfield, 1824)"	"Zwervende fluiteend"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177330"	
"Dendrocygna bicolor (Vieillot, 1816)"	"Rosse fluiteend"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174551"	
"Desdemona ornata Banse, 1957"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178476"	
"Diadumene cincta Stephenson, 1925"	"Golfbrekeranemoon"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140731"	
"Diadumene lineata (Verrill, 1869)"	"Groene golfbrekeranemoon"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140732"	
"Didemnum vexillum Romanov, 1989"	"Druipzakpijp"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171689"	
"Dikerogammarus haemobaphes (Eichwald, 1841)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143439"	
"Dikerogammarus villosus (Sowinsky, 1894)"	"Reuzenvlokreeft"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143440"	
"Diplosoma listerianum (Milne Edwards, 1841)"	"Grijze korstzakpijp"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138819"	
"Disparalona hamata (Birge, 1879)"	"Gehoekte bodemalona"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174729"	
"Disparalona leei (Chien, 1970)"	"Amerikaanse bodemalona"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174728"	
"Dreissena bugensis (Andrusov, 1897)"	"Quaggamossel"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137156"	
"Dreissena polymorpha (Pallas, 1771)"	"Driehoeksmossel"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137153"	
"Dunhevedia crassa King, 1853"	"Zomerwatervlo"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174731"	
"Dynamene bidentata (Adams, 1800)"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143594"	
"Echinogammarus ischnus (Stebbing, 1899)"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143421"	
"Echinogammarus trichiatus (Martynov, 1932)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143423"	
"Eclipidrilus lacustris (Verrill, 1871)"	"Amerikaanse bloedworm"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=175080"	
"Edwardsia claparedii (Panceri, 1869)"	""	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=176691"	
"Egeria densa Planch."	"Egeria"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119533"	
"Eichhornia crassipes (Mart.) Solms"	"Waterhyacint"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119428"	
"Elachista sp."	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=117209"	
"Eleocharis engelmannii Steud."	"Kale waterbies"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=179355"	
"Eleocharis obtusa (Willd.) Schult."	"Stompe waterbies"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=179356"	
"Elodea canadensis Michx."	"Brede waterpest"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119530"	
"Elodea nuttallii (Planch.) H.St.John"	"Smalle waterpest"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119531"	
"Ensis leei Huber, 2015"	"Amerikaanse zwaardschede"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137237"	
"Equisetum hyemale var. affine (Engelm.) A.A.Eaton"	"Schaafstro var. affine"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=118345"	
"Eriocheir sinensis Milne-Edwards, 1853"	"Chinese wolhandkrab"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143761"	
"Erythronium dens-canis L."	"Hondstand"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=120999"	
"Euchone limnicola Reish, 1959"	"Californische kokerworm"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182636"	
"Eudiaptomus gracilis (Sars, 1863)"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144383"	
"Eudocimus albus (Linnaeus, 1758)"	"Witte ibis"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177332"	
"Euglesa compressa (Prime, 1852)"	"Samengedrukte erwtenmossel"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183474"	
"Euplana gracilis (Girard, 1850)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140275"	
"Eurytemora americana Williams, 1906"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144389"	
"Eusarsiella zostericola (Cushman, 1906)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182576"	
"Evadne spinifera Müller, 1867"	"Oceaangrootoogwatervlo"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174739"	
"Faxonius limosus (Rafinesque, 1817)"	"Gevlekte Amerikaanse rivierkreeft"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143775"	
"Faxonius virilis (Hagen, 1870)"	"Geknobbelde Amerikaanse rivierkreeft"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143774"	
"Fenestrulina delicia Winston, Hayward & Craig, 2000"	"Venstermosdiertje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=173013"	
"Fibrocapsa japonica Toriumi & Takano"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178871"	
"Ficopomatus enigmaticus (Fauvel, 1923)"	"Trompet-kalkkokerworm"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138015"	
"Fritillaria imperialis L."	"Keizerskroon"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=120986"	
"Gagea minima (L.) Ker Gawl."	"Spitse geelster"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=120992"	
"Gammarus roeseli Gervais, 1835"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143429"	
"Gammarus tigrinus Sexton, 1939"	"Tijgervlokreeft"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143428"	
"Garveia franciscana (Torrey, 1902)"	"Berenvachtpoliep"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140465"	
"Gelidium vagum Okamura"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171418"	
"Girardia tigrina (Girard, 1850)"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140190"	
"Glycymeris glycymeris (Linnaeus, 1758)"	"Gewone marmerschelp"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137293"	
"Gnathia maxillaris (Montagu, 1804)"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143561"	
"Gobiosoma bosc (Lacepède, 1800)"	"Naakte grondel"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=180903"	
"Gobiusculus flavescens (Fabricius, 1779)"	"Tweevlekgrondel"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174447"	
"Gonionemus vertens Agassiz, 1862"	"Kruiskwal"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140678"	
"Gracilaria vermiculophylla (Ohmi) Papenf."	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116645"	
"Grandidierella japonica Stephensen, 1938"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183251"	
"Graptemys pseudogeographica (Gray, 1831)"	"Zaagrugschildpad"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172421"	
"Grateloupia turuturu Yamada"	"Slijmerige drakentong"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116374"	
"Gyraulus chinensis (Dunker, 1848)"	"Chinese schijfhoren"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137881"	
"Gyraulus parvus (Say, 1817)"	"Amerikaanse schijfhoren"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137882"	
"Haliclona cinerea (Grant, 1826)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172726"	
"Haliclona rosea (Bowerbank, 1866)"	"Rose kussenspons"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136558"	
"Haliclona simulans (Johnston, 1842)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172722"	
"Haliclona urceolus (Rathke & Vahl, 1806)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136559"	
"Haliclona xena De Weerdt, 1986"	"Paarse buisjesspons"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136562"	
"Haliclystus salpinx Clark, 1863"	"Trompet steelkwal"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171644"	
"Halisarca dujardinii (Johnston, 1842)"	"Weke balletjesspons"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172730"	
"Haminoea japonica Pilsbry, 1895"	"Japanse zeepbelslak"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183469"	
"Haplosporidium armoricanum (Van Banning, 1977)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137093"	
"Helisoma duryi (Wetherby, 1879)"	"Florida posthorenslak"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=181710"	
"Helobdella europaea (Kutschera, 1987)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138303"	
"Hemibdella soleae Van Beneden & Hesse, 1863"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138277"	
"Hemigrapsus sanguineus (De Haan, 1835)"	"Blaasjeskrab"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143705"	
