top	"Animalia"
rangen	"(alle)
statussen	"(0,0a,1,1a,1b,2,2a,2b,2c,2d,3a,3b,3c,3cE,3d,4)"

"scientific_name"	"common_name"	"rank"	"nsr_id"	"presence_status"	
"Cleonice callida (Meigen, 1824)"	""	"soort"	"0AHCYFBMZVKH"	"1a"	
"Cleonis pigra (Scopoli, 1763)"	"Trage distelsnuitkever"	"soort"	"0AHCYFBTCYKE"	"1a"	
"Cleonymus laticornis Walker, 1837"	""	"soort"	"0AHCYFBASHGX"	"1a"	
"Cleopomiarus dulcinasutus (Kangas, 1976)"	""	"soort"	"0AHCYFBTKFEL"	"3b"	
"Cleopomiarus graminis (Gyllenhal, 1813)"	""	"soort"	"0AHCYFBTKGFE"	"1a"	
"Cleopomiarus micros (Germar, 1821)"	""	"soort"	"0AHCYFBTKHFW"	"1a"	
"Cleopomiarus plantarum (Germar, 1824)"	""	"soort"	"0AHCYFBTKIGP"	"1a"	
"Cleopus pulchellus (Herbst, 1795)"	""	"soort"	"0AHCYFBTDACR"	"1a"	
"Cleopus solani (Fabricius, 1793)"	""	"soort"	"0AHCYFBTDBDK"	"1a"	
"Cleora cinctaria (Denis & Schiffermüller, 1775)"	"Geringde spikkelspanner"	"soort"	"0AHCYFCJVEXK"	"1a"	
"Cleorodes lichenaria (Hufnagel, 1767)"	"Korstmosspanner"	"soort"	"0AHCYFCJVHZZ"	"1a"	
"Clepsis consimilana (Hübner, 1817)"	"Tuinbladroller"	"soort"	"0AHCYFCNCROH"	"1a"	
"Clepsis dumicolana (Zeller, 1847)"	"Klimopbladroller"	"soort"	"000000020523"	"3a"	
"Clepsis neglectana (Herrich-Schäffer, 1851)"	"Snedebandbladroller"	"soort"	"0AHCYFCNCSPA"	"1a"	
"Clepsis pallidana (Fabricius, 1776)"	"Giraffemot"	"soort"	"0AHCYFCNCTUE"	"1a"	
"Clepsis rurinana (Linnaeus, 1758)"	"Cirkelbladroller"	"soort"	"0AHCYFCNCUUX"	"1a"	
"Clepsis senecionana (Hübner, 1819)"	"Gagelbladroller"	"soort"	"0AHCYFCNCVVP"	"1a"	
"Clepsis spectrana (Treitschke, 1830)"	"Koolbladroller"	"soort"	"0AHCYFCNCWWH"	"1a"	
"Cleptes nitidulus (Fabricius, 1793)"	""	"soort"	"0AHCYFCQILYY"	"1a"	
"Cleptes semiauratus (Linnaeus, 1761)"	""	"soort"	"0AHCYFCQIMZQ"	"1a"	
"Cleptes semicyaneus Tournier, 1879"	""	"soort"	"0AHCYFCQINVX"	"1a"	
"Cleruchus polypori Triapitsyn & Moraal, 2008"	""	"soort"	"000000025211"	"1a"	
"Clerus mutillarius Fabricius, 1775"	""	"soort"	"0CC3306C415A"	"2d"	
"Clethrobius comes (Walker, 1848)"	""	"soort"	"0AHCYSI00915"	"1a"	
"Cletodes limicola Brady, 1872"	""	"soort"	"086J6ZYD9LCO"	"1a"	
"Clinocentrus caucasicus Tobias, 1976"	""	"soort"	"0AHCYFARVOJO"	"1a"	
"Clinocentrus cunctator (Haliday, 1836)"	""	"soort"	"0AHCYFARVPKG"	"1a"	
"Clinocentrus excubitor (Haliday, 1836)"	""	"soort"	"0AHCYFARVQKZ"	"1a"	
"Clinocentrus exsertor (Nees, 1811)"	""	"soort"	"0AHCYFARVRQD"	"1a"	
"Clinocentrus striolatus (Thomson, 1892)"	""	"soort"	"0AHCYFARVSQV"	"3c"	
"Clinocentrus umbratilis Haliday, 1833"	""	"soort"	"0AHCYFARVUAX"	"3c"	
"Clinocera stagnalis (Haliday, 1833)"	""	"soort"	"0AHCYFBGLOHF"	"1a"	
"Clinodiplosis cilicrus (Kieffer, 1889)"	""	"soort"	"0AHCYFBDCWYP"	"1a"	
"Clinodiplosis invocata (Winnertz, 1853)"	""	"soort"	"0AHCYFBDDAAS"	"1a"	
"Clinohelea unimaculata (Macquart, 1826)"	""	"soort"	"0AHCYFBDVYCZ"	"1a"	
"Clinotanypus nervosus (Meigen, 1818)"	""	"soort"	"0AHCYFBEHITI"	"1a"	
"Cliona celata Grant, 1826"	"Boorspons"	"soort"	"0AHCYSI11384"	"1a"	
"Cliorismia ardea (Fabricius, 1794)"	""	"soort"	"0AHCYFBOACIG"	"1a"	
"Cliorismia rustica (Panzer, 1804)"	""	"soort"	"0AHCYFBOADIY"	"1a"	
"Clistoabdominalis ruralis (Meigen, 1824)"	""	"soort"	"0AHCYFBKGDLK"	"1a"	
"Clistopyga incitator (Fabricius, 1793)"	""	"soort"	"0AHCYFATSQOF"	"1a"	
"Clistopyga rufator Holmgren, 1856"	""	"soort"	"0AHCYFATSROX"	"1a"	
"Clistopyga sziladyi Kiss, 1959"	""	"soort"	"0AHCYFATSSPQ"	"3c"	
"Clitellaria ephippium (Fabricius, 1775)"	"Roodrugwapenvlieg"	"soort"	"0AHCYFBLVSNB"	"1a"	
"Clitellio arenarius (Müller, 1776)"	"Kuststekelworm"	"soort"	"0AHCYSI07219"	"1a"	
"Clitostethus arcuatus (Rossi, 1794)"	"Boogvlekkapoentje"	"soort"	"0AHCYFBSPHUZ"	"1a"	
"Clivina collaris (Herbst, 1784)"	"Akkergraver"	"soort"	"0AHCYFBRECYN"	"1a"	
"Clivina fossor (Linnaeus, 1758)"	"Roodbruine graver"	"soort"	"0AHCYFBREDZF"	"1a"	
"Cloacotaenia megalops (Nitzsch in Creplin, 1829)"	""	"soort"	"07159BC94957"	"1a"	
"Cloeon dipterum (Linnaeus, 1761)"	""	"soort"	"0AHCYFBPSSPE"	"1a"	
"Cloeon simile Eaton, 1870"	""	"soort"	"0AHCYFBPSWAR"	"1a"	
"Clogmia albipunctata (Williston, 1893)"	"Wc-motmug"	"soort"	"032ED1694E2C"	"2b"	
"Clogmia rothschildi (Eaton, 1912)"	""	"soort"	"0AHCYFBKLMEB"	"1a"	
"Clogmia tristis (Meigen, 1830)"	""	"soort"	"0AHCYFBKLNEU"	"3b"	
"Clonopsis gallica (Charpentier, 1825)"	"Gallische wandelende tak"	"soort"	"0HJON2NMBO27"	"1b"	
"Clostera anachoreta (Denis & Schiffermüller, 1775)"	"Kleine wapendrager"	"soort"	"0AHCYSI00212"	"1a"	
"Clostera anastomosis (Linnaeus, 1758)"	"Roestbruine wapendrager"	"soort"	"0AHCYSI00211"	"0a"	
"Clostera curtula (Linnaeus, 1758)"	"Bruine wapendrager"	"soort"	"0AHCYSI00210"	"1a"	
"Clostera pigra (Hufnagel, 1766)"	"Donkere wapendrager"	"soort"	"0AHCYSI00208"	"1a"	
"Closterocerus ruforum (Krausse, 1917)"	""	"soort"	"0AHCYFAZYVCS"	"1a"	
"Closterocerus trifasciatus Westwood, 1833"	""	"soort"	"0AHCYFAZYWDL"	"1a"	
"Closterotomus biclavatus (Herrich-Schaeffer, 1835)"	""	"soort"	"0AHCYSICJIPC"	"1a"	
"Closterotomus fulvomaculatus (De Geer, 1773)"	""	"soort"	"0AHCYSICJKQY"	"1a"	
"Closterotomus norwegicus (Gmelin, 1790)"	""	"soort"	"0AHCYSICJLRR"	"1a"	
"Closterotomus trivialis (Costa, 1853)"	""	"soort"	"0AHCYSICJMSJ"	"2b"	
"Clubiona brevipes Blackwall, 1841"	"Eikenzakspin"	"soort"	"0AHCYFOODLSO"	"1a"	
"Clubiona caerulescens Koch, 1867"	"Glanzende zakspin"	"soort"	"0AHCYFOODMGU"	"1a"	
"Clubiona comta Koch, 1839"	"Bonte zakspin"	"soort"	"0AHCYFOODNIK"	"1a"	
"Clubiona corticalis (Walckenaer, 1802)"	"Schorszakspin"	"soort"	"0AHCYFOODNWE"	"1a"	
"Clubiona diversa Cambridge, 1862"	"Vale zakspin"	"soort"	"0AHCYFOODOKL"	"1a"	
"Clubiona frisia Wunderlich & Schuett, 1995"	"Helmzakspin"	"soort"	"0AHCYFOODOYF"	"1a"	
"Clubiona frutetorum Koch, 1867"	"Struweelzakspin"	"soort"	"0AHCYFOODPMA"	"1a"	
"Clubiona genevensis Koch, 1866"	"Graszakspin"	"soort"	"0AHCYFOODPZV"	"1a"	
"Clubiona germanica Thorell, 1870"	"Duitse zakspin"	"soort"	"0AHCYFOODQOB"	"1a"	
"Clubiona juvenis Simon, 1878"	"Zeggezakspin"	"soort"	"0AHCYFOODRBW"	"1a"	
"Clubiona lutescens Westring, 1851"	"Griendzakspin"	"soort"	"0AHCYFOODRPR"	"1a"	
"Clubiona neglecta Cambridge, 1862"	"Kortkaakzakspin"	"soort"	"0AHCYFOODSDM"	"1a"	
"Clubiona norvegica Strand, 1900"	"Noorse zakspin"	"soort"	"0BB2E4624A54"	"1a"	
"Clubiona pallidula (Clerck, 1757)"	"Boomzakspin"	"soort"	"0AHCYFOODSRS"	"1a"	
"Clubiona phragmitis Koch, 1843"	"Rietzakspin"	"soort"	"0AHCYFOODTFN"	"1a"	
"Clubiona pseudoneglecta Wunderlich, 1994"	"Langkaakzakspin"	"soort"	"0AHCYFOODTTI"	"1a"	
"Clubiona reclusa Cambridge, 1863"	"Zompzakspin"	"soort"	"0AHCYFOODUHD"	"1a"	
"Clubiona rosserae Locket, 1953"	"Rossers zakspin"	"soort"	"0AHCYFOODUVJ"	"1a"	
"Clubiona stagnatilis Kulczynski, 1897"	"Moeraszakspin"	"soort"	"0AHCYFOODVJE"	"1a"	
"Clubiona subsultans Thorell, 1875"	"Dennenzakspin"	"soort"	"0AHCYFOODVWZ"	"1a"	
"Clubiona subtilis Koch, 1867"	"Kleine zakspin"	"soort"	"0AHCYFOODWKT"	"1a"	
"Clubiona terrestris Westring, 1851"	"Gewone zakspin"	"soort"	"0AHCYFOODWZA"	"1a"	
"Clubiona trivialis Koch, 1843"	"Moszakspin"	"soort"	"0AHCYFOODXMV"	"1a"	
"Clunio marinus Haliday, 1855"	""	"soort"	"0X9VISNZ98T9"	"3c"	
"Clupea harengus Linnaeus, 1758"	"Haring"	"soort"	"000455863877"	"1a"	
"Clusia flava (Meigen, 1830)"	""	"soort"	"0AHCYFBFMTTT"	"1a"	
"Clusiodes albimanus (Meigen, 1830)"	""	"soort"	"0AHCYFBFMVMG"	"1a"	
"Clusiodes caledonicus (Collin, 1912)"	""	"soort"	"0AHCYFBFMWMZ"	"1a"	
"Clusiodes gentilis (Collin, 1912)"	""	"soort"	"0AHCYFBFMYOK"	"1a"	
"Clusiodes geomyzinus (Fallén, 1823)"	""	"soort"	"0AHCYFBFMZPC"	"1a"	
"Clusiodes ruficollis (Meigen, 1830)"	""	"soort"	"0AHCYFBFNAPV"	"1a"	
"Clusiodes verticalis (Collin, 1912)"	""	"soort"	"0AHCYFBFNBQN"	"1a"	
"Clymenura borealis (Arwidsson, 1906)"	""	"soort"	"0HGOR1EKXUP2"	"1a"	
"Clymenura lankesteri (McIntosh, 1885)"	""	"soort"	"0TFB9NB1B7BM"	"3b"	
"Clypastraea pusilla (Gyllenhal, 1810)"	""	"soort"	"0AHCYFBSTSJB"	"1a"	
"Clypeoaphis suaedae (Mimeur, 1934)"	""	"soort"	"0AHCYSI00916"	"1a"	
"Clypeoplex cerophagus (Gravenhorst, 1829)"	""	"soort"	"0AHCYFATSUIP"	"1a"	
"Clytia gracilis (Sars, 1850)"	""	"soort"	"0AHCYSI11298"	"1a"	
"Clytia hemisphaerica (Linnaeus, 1767)"	"Getande klokpoliep"	"soort"	"0AHCYSI11299"	"1a"	
"Clytiomya continua (Panzer, 1798)"	""	"soort"	"0AHCYFBMZXCU"	"1a"	
"Clytocerus  ocellaris (Meigen, 1804)"	""	"soort"	"0AHCYFBKLKLO"	"1a"	
"Clytocerus dalii (Eaton, 1893)"	""	"soort"	"0472PXHI47P4"	"1a"	
"Clytocerus splendidus Ježek & Hájek, 2007"	""	"soort"	"08BE74F241A1"	"0a"	
"Clytra laeviuscula Ratzeburg, 1837"	"Gladde zakkever"	"soort"	"0AHCYFBSAOPM"	"1a"	
"Clytra quadripunctata (Linnaeus, 1758)"	"Vierstippige mierenzakkever"	"soort"	"0AHCYFBSAPQE"	"1a"	
"Clytus arietis (Linnaeus, 1758)"	"Kleine wespenboktor"	"soort"	"0AHCYFBRPXWK"	"1a"	
"Cnaemidophorus rhododactyla (Denis & Schiffermüller, 1775)"	"Rozenvedermot"	"soort"	"0AHCYFCMLJUY"	"1a"	
"Cnephalocotes obscurus (Blackwall, 1834)"	"Dolkwevertje"	"soort"	"0AHCYFOOHOZX"	"1a"	
"Cnephasia asseclana (Denis & Schiffermüller, 1775)"	"Fijne spikkelbladroller"	"soort"	"0AHCYFCNCYPG"	"1a"	
"Cnephasia communana (Herrich-Schäffer, 1851)"	"Erwtentopbladroller"	"soort"	"0AHCYFCNCZPZ"	"1a"	
"Cnephasia genitalana Pierce & Metcalfe, 1922"	"Vale spikkelbladroller"	"soort"	"0AHCYFCNDAQR"	"1a"	
"Cnephasia incertana (Treitschke, 1835)"	"Spikkelbladroller"	"soort"	"0AHCYFCNDBRK"	"1a"	
"Cnephasia longana (Haworth, 1811)"	"Topbladroller"	"soort"	"0AHCYFCNDCSC"	"1a"	
"Cnephasia pasiuana (Hübner, 1799)"	"Moerrasspikkelbladroller"	"soort"	"0AHCYFCNDDSV"	"1a"	
"Cnephasia pumicana (Zeller, 1847)"	""	"soort"	"070E42B8448F"	"1b"	
"Cnephasia sedana (Constant, 1844)"	""	"soort"	"02F0A977470D"	"1b"	
"Cnephasia stephensiana (Doubleday, 1849)"	"Zomerspikkelbladroller"	"soort"	"0AHCYFCNDETN"	"1a"	
"Cnodacophora sellata (Meigen, 1826)"	""	"soort"	"0AHCYFBIGDZW"	"1a"	
"Cnodacophora stylifera (Loew, 1870)"	""	"soort"	"0AHCYFBIGFAO"	"1a"	
"Coarctadera cystilarva (Völk, 1950)"	""	"soort"	"0AHCYSI02416"	"1a"	
"Coarctadera icosiensis (Maupas, 1916)"	""	"soort"	"0AHCYSI02421"	"1a"	
"Cobitis taenia Linnaeus, 1758"	"Kleine modderkruiper"	"soort"	"000455863884"	"1a"	
"Coboldia fuscipes (Meigen, 1830)"	""	"soort"	"0AHCYFBKZJKW"	"1a"	
"Coccidula rufa (Herbst, 1783)"	"Ongevlekt rietkapoentje"	"soort"	"0AHCYFBSPJNM"	"1a"	
"Coccidula scutellata (Herbst, 1783)"	"Gevlekt rietkapoentje"	"soort"	"0AHCYFBSPKOQ"	"1a"	
"Coccinella hieroglyphica Linnaeus, 1758"	"Hiëroglyfenlieveheersbeestje"	"soort"	"0AHCYFBSPMCS"	"1a"	
"Coccinella magnifica Redtenbacher, 1843"	"Bosmierlieveheersbeestje"	"soort"	"0AHCYFBSPNDK"	"1a"	
"Coccinella quinquepunctata Linnaeus, 1758"	"Vijfstippelig lieveheersbeestje"	"soort"	"0AHCYFBSPNZR"	"1a"	
"Coccinella septempunctata Linnaeus, 1758"	"Zevenstippelig lieveheersbeestje"	"soort"	"000623372156"	"1a"	
"Coccinella undecimpunctata Linnaeus, 1758"	"Elfstippelig lieveheersbeestje"	"soort"	"0AHCYFBSPQOL"	"1a"	
"Coccinula quatuordecimpustulata (Linnaeus, 1758)"	"Veertienvleklieveheersbeestje"	"soort"	"0AHCYFBSPSGY"	"1a"	
"Coccopsilis marginata (De Meijere, 1901)"	""	"soort"	"0AHCYFBDKMQJ"	"1a"	
"Coccothraustes coccothraustes (Linnaeus, 1758)"	"Appelvink"	"soort"	"000464941403"	"1a"	
"Coccotrypes dactyliperda (Fabricius, 1801)"	""	"soort"	"0D3676484BCF"	"2d"	
"Coccus hesperidum Linnaeus, 1758"	""	"soort"	"0CF608154A1B"	"2b"	
"Coccus longulus Douglas 1887"	""	"soort"	"0NF3OATGINPE"	"2d"	
"Coccus viridis (Green, 1889)"	""	"soort"	"0DFWBUI9WVF6"	"2d"	
"Cochlicella acuta (Müller, 1774)"	"Slanke duinhoren"	"soort"	"0AHCYFEPEOWG"	"0a"	
"Cochlicella barbara (Linnaeus, 1758)"	"Bolle duinhoren"	"soort"	"0AHCYFEPEQBK"	"0a"	
"Cochlicopa lubrica (Müller, 1774)"	"Glanzende agaathoren"	"soort"	"0AHCYFEPERYK"	"1a"	
"Cochlicopa lubricella (Porro, 1838)"	"Slanke agaathoren"	"soort"	"0AHCYFEPETDO"	"1a"	
"Cochlicopa repentina Hudec, 1960"	"Middelste agaathoren"	"soort"	"0AHCYFEPEUIS"	"1a"	
"Cochlodesma praetenue (Pulteney, 1799)"	"Lepelschelp"	"soort"	"0AHCYSI11576"	"1b"	
"Cochlodina laminata (Montagu, 1803)"	"Gladde clausilia"	"soort"	"000486764325"	"1a"	
"Cochylidia implicitana (Wocke, 1856)"	"Kamillebladroller"	"soort"	"0AHCYFCNDGMB"	"1a"	
"Cochylidia richteriana (Fischer v. Röslerstamm, 1837)"	"Zwarthoekbladroller"	"soort"	"0AHCYSI00168"	"1a"	
"Cochylidia rupicola (Curtis, 1834)"	"Veelkleurige bladroller"	"soort"	"0AHCYFCNDHMT"	"1a"	
"Cochylimorpha alternana (Stephens, 1834)"	"Centauriebladroller"	"soort"	"0AHCYFCNDJFG"	"1a"	
"Cochylimorpha straminea (Haworth, 1811)"	"Moerasbladroller"	"soort"	"0AHCYFCNDKGK"	"1a"	
"Cochylis atricapitana (Stephens, 1852)"	"Sint-jacobsbladroller"	"soort"	"0AHCYFCNDMDK"	"1a"	
"Cochylis dubitana (Hübner, 1799)"	"Blauwe distelbladroller"	"soort"	"0AHCYFCNDNEC"	"1a"	
"Cochylis flaviciliana (Westwood, 1854)"	"Regenboogbladroller"	"soort"	"0AHCYFCNDOEU"	"1a"	
"Cochylis hybridella (Hübner, 1813)"	"Koperrandbladroller"	"soort"	"0AHCYFCNDPFN"	"1a"	
"Cochylis molliculana Zeller, 1847"	""	"soort"	"0806C9F241F6"	"1b"	
"Cochylis nana (Haworth, 1811)"	"Vroege dwergbladroller"	"soort"	"0AHCYFCNDQGF"	"1a"	
"Cochylis pallidana Zeller, 1847"	"Zandblauwbladroller"	"soort"	"0AHCYFCNDRGY"	"1a"	
"Cochylis posterana Zeller, 1847"	"Roodtipbladroller"	"soort"	"0AHCYFCNDSHQ"	"1a"	
"Cochylis roseana (Haworth, 1811)"	"Roze bladroller"	"soort"	"0AHCYFCNDTIJ"	"1a"	
"Codonium proliferum (Forbes, 1848)"	""	"soort"	"0AHCYSI11235"	"1a"	
"Codonocephalus urniger (Rudolphi, 1819)"	""	"soort"	"0CD5GCWGO2QB"	"1a"	
"Coecobrya tenebricosa (Folsom, 1902)"	""	"soort"	"02AF4E15449E"	"1a"	
"Coeliastes lamii (Fabricius, 1793)"	""	"soort"	"0AHCYFBTDCVX"	"1a"	
"Coelichneumon anthrax (Dalla Torre, 1901)"	""	"soort"	"0AHCYFATSWBC"	"1a"	
"Coelichneumon biannulatus (Gravenhorst, 1820)"	""	"soort"	"0AHCYFATSXBU"	"1a"	
"Coelichneumon bilineatus (Gmelin, 1790)"	""	"soort"	"0AHCYFATSYCN"	"1a"	
"Coelichneumon castaniventris (Gravenhorst, 1829)"	""	"soort"	"0AHCYFATSZDF"	"1a"	
"Coelichneumon comitator (Linnaeus, 1758)"	""	"soort"	"0AHCYFATTADY"	"1a"	
"Coelichneumon consimilis (Wesmael, 1845)"	""	"soort"	"0AHCYFATTBEQ"	"1a"	
"Coelichneumon cyaniventris (Wesmael, 1859)"	""	"soort"	"0AHCYFATTCFJ"	"1a"	
"Coelichneumon deliratorius (Linnaeus, 1758)"	""	"soort"	"0AHCYFATTDGB"	"1a"	
"Coelichneumon desinatorius (Thunberg, 1824)"	""	"soort"	"0AHCYFATTEGU"	"1a"	
"Coelichneumon dubius (Tischbein, 1876)"	""	"soort"	"0AHCYFATTFHM"	"1a"	
"Coelichneumon falsificus (Wesmael, 1845)"	""	"soort"	"0AHCYFATTGIQ"	"1a"	
"Coelichneumon haemorrhoidalis (Gravenhorst, 1820)"	""	"soort"	"0AHCYFATTHJI"	"1a"	
"Coelichneumon lacrymator (Boyer de Fonscolombe, 1847)"	""	"soort"	"0AHCYFATTIKB"	"1a"	
"Coelichneumon leucocerus (Gravenhorst, 1820)"	""	"soort"	"0AHCYFATTJKT"	"1a"	
"Coelichneumon microstictus (Gravenhorst, 1829)"	""	"soort"	"0AHCYFATTKLM"	"1a"	
"Coelichneumon nigerrimus (Stephens, 1835)"	""	"soort"	"0AHCYFATTLME"	"1a"	
"Coelichneumon orbitator (Thunberg, 1822)"	""	"soort"	"0AHCYFATTMMX"	"1a"	
"Coelichneumon percussor (Tischbein, 1876)"	""	"soort"	"0AHCYFATTNNP"	"1a"	
"Coelichneumon ruficauda (Wesmael, 1845)"	""	"soort"	"0AHCYFATTOOI"	"1a"	
"Coelichneumon sinister (Wesmael, 1848)"	""	"soort"	"0AHCYFATTPPA"	"1a"	
"Coelichneumon sugillatorius (Linnaeus, 1758)"	""	"soort"	"0AHCYFATTQPS"	"1a"	
"Coelichneumon zwakhalsi Riedel, 2012"	""	"soort"	"0TKQU78VMVLV"	"1a"	
"Coelinidea albimana (Snellen van Vollenhoven, 1873)"	""	"soort"	"0AHCYFARVVXW"	"1a"	
"Coelinidea elegans (Curtis, 1829)"	""	"soort"	"0AHCYFARVWYP"	"1a"	
"Coelinidea gracilis (Curtis, 1829)"	""	"soort"	"0AHCYFARVXZH"	"1a"	
"Coelinidea nigra (Nees, 1811)"	""	"soort"	"0AHCYFARVYZZ"	"1a"	
"Coelinidea ruficollis (Herrich-Schäffer, 1838)"	""	"soort"	"0AHCYFARWAAS"	"1a"	
"Coelinidea vidua (Curtis, 1829)"	""	"soort"	"0AHCYFARWBBK"	"3c"	
"Coelinius parvulus (Nees, 1811)"	""	"soort"	"0AHCYFARWCYJ"	"1a"	
"Coeliodes rana (Fabricius, 1787)"	""	"soort"	"0AHCYFBTDEOW"	"1a"	
"Coeliodes ruber (Marsham, 1802)"	""	"soort"	"0AHCYFBTDHQZ"	"1a"	
"Coeliodes transversealbofasciatus (Goeze, 1777)"	""	"soort"	"0AHCYFBTDFPO"	"1a"	
"Coeliodes trifasciatus Bach, 1854"	""	"soort"	"0AHCYFBTDJSK"	"1a"	
"Coeliodinus nigritarsis (Hartmann, 1895)"	""	"soort"	"0AHCYFBTDGQH"	"1a"	
"Coeliodinus rubicundus (Herbst, 1795)"	""	"soort"	"0AHCYFBTDIRS"	"1a"	
"Coelioxys afra Lepeletier, 1841"	"Schubhaarkegelbij"	"soort"	"0AHCYFAYTWHG"	"3a"	
"Coelioxys alata Förster, 1853"	"Kielstaartkegelbij"	"soort"	"000464755471"	"1a"	
"Coelioxys aurolimbata Förster, 1853"	"Gouden kegelbij"	"soort"	"000464755477"	"1a"	
"Coelioxys conica (Linnaeus, 1758)"	"Heidekegelbij"	"soort"	"000464755512"	"1a"	
"Coelioxys conoidea (Illiger, 1806)"	"Grote kegelbij"	"soort"	"000464755488"	"1a"	
"Coelioxys elongata Lepeletier, 1841"	"Slanke kegelbij"	"soort"	"000464755494"	"1a"	
"Coelioxys inermis (Kirby, 1802)"	"Gewone kegelbij"	"soort"	"000464755500"	"1a"	
"Coelioxys mandibularis Nylander, 1848"	"Duinkegelbij"	"soort"	"000464755506"	"1a"	
"Coelioxys rufescens Lepeletier & Serville, 1825"	"Rosse kegelbij"	"soort"	"000464755518"	"1a"	
"Coeloides melanostigma Strand, 1918"	""	"soort"	"0AHCYFARWEQX"	"3c"	
"Coeloides melanotus Wesmael, 1838"	""	"soort"	"0AHCYFARWFSB"	"1a"	
"Coeloides rossicus (Kokujev, 1902)"	""	"soort"	"0AHCYFARWGST"	"3c"	
"Coeloides scolyticida Wesmael, 1838"	""	"soort"	"0AHCYFARWHTM"	"1a"	
"Coelopa frigida (Fabricius, 1805)"	""	"soort"	"0AHCYFBFNHMI"	"1a"	
"Coelopa pilipes Haliday, 1838"	""	"soort"	"0AHCYFBFNINA"	"1a"	
"Coelopisthia extentus (Walker, 1835)"	""	"soort"	"0AHCYFBASIUY"	"1a"	
"Coelopisthia pachycerus (Masi, 1924)"	""	"soort"	"0AHCYFBASJRF"	"1a"	
"Coelosia flava (Staeger, 1840)"	""	"soort"	"0AHCYFBIWJUH"	"1a"	
"Coelosia fusca Bezzi, 1892"	""	"soort"	"054F183C4EA3"	"1a"	
"Coelosia tenella (Zetterstedt, 1852)"	""	"soort"	"0AHCYFBIWLVS"	"1a"	
"Coelostoma orbiculare (Fabricius, 1775)"	""	"soort"	"0AHCYFBUVOVZ"	"1a"	
"Coelotes terrestris (Wider, 1834)"	"Gewone bostrechterspin"	"soort"	"0AHCYFOOCAOC"	"1a"	
"Coenagrion armatum (Charpentier, 1840)"	"Donkere waterjuffer"	"soort"	"000464655148"	"1a"	
"Coenagrion hastulatum (Charpentier, 1825)"	"Speerwaterjuffer"	"soort"	"000464655154"	"1a"	
"Coenagrion lunulatum (Charpentier, 1840)"	"Maanwaterjuffer"	"soort"	"0AHCYFBZWCOS"	"1a"	
"Coenagrion mercuriale (Charpentier, 1840)"	"Mercuurwaterjuffer"	"soort"	"000464655166"	"1a"	
"Coenagrion ornatum (Selys, 1850)"	"Vogelwaterjuffer"	"soort"	"0AHCYFBZWFZT"	"3c"	
"Coenagrion puella (Linnaeus, 1758)"	"Azuurwaterjuffer"	"soort"	"000464655178"	"1a"	
"Coenagrion pulchellum (Vander Linden, 1825)"	"Variabele waterjuffer"	"soort"	"0AHCYFBZWIBE"	"1a"	
"Coenagrion scitulum (Rambur, 1842)"	"Gaffelwaterjuffer"	"soort"	"0AHCYFBZWKCP"	"1b"	
"Coenia curvicauda (Meigen, 1830)"	""	"soort"	"0AHCYFBGUUMU"	"1a"	
"Coenia palustris (Fallén, 1823)"	""	"soort"	"0AHCYFBGUVNM"	"1a"	
"Coenobia rufa (Haworth, 1809)"	"Russenuil"	"soort"	"0AHCYFCLSFAQ"	"1a"	
"Coenomyia ferruginea (Scopoli, 1763)"	""	"soort"	"0AHCYFBFNRCB"	"1a"	
"Coenonympha arcania (Linnaeus, 1761)"	"Tweekleurig hooibeestje"	"soort"	"0AHCYSRKEBOD"	"1a"	
"Coenonympha hero (Linnaeus, 1761)"	"Zilverstreephooibeestje"	"soort"	"0AHCYSRKECOW"	"1a"	
"Coenonympha pamphilus (Linnaeus, 1758)"	"Hooibeestje"	"soort"	"0AHCYSRKEDUM"	"1a"	
"Coenonympha tullia (Müller, 1764)"	"Veenhooibeestje"	"soort"	"0AHCYSRKEEVE"	"1a"	
"Coenophila subrosea (Stephens, 1829)"	"Hoogveenaarduil"	"soort"	"0AHCYFCLSGTD"	"1b"	
"Coenosia agromyzina (Fallén, 1825)"	""	"soort"	"0AHCYFBIINFH"	"1a"	
"Coenosia ambulans Meigen, 1826"	""	"soort"	"0AHCYFBIIPCG"	"1a"	
"Coenosia antennata (Zetterstedt, 1849)"	""	"soort"	"0AHCYFBIIQCZ"	"1a"	
"Coenosia atra Meigen, 1830"	""	"soort"	"0AHCYFBIIRDR"	"1a"	
"Coenosia attenuata Stein, 1903"	""	"soort"	"0NYJGQI6Q5B6"	"1a"	
"Coenosia bilineella (Zetterstedt, 1838)"	""	"soort"	"0AHCYFBIISEK"	"1a"	
"Coenosia campestris (Robineau-Desvoidy, 1830)"	""	"soort"	"0AHCYFBIITFC"	"1a"	
"Coenosia distinguens Collin, 1930"	""	"soort"	"0AHCYFBIIVGN"	"1a"	
"Coenosia femoralis (Robineau-Desvoidy, 1830)"	""	"soort"	"0AHCYFBIIWHR"	"1a"	
"Coenosia flavimana (Zetterstedt, 1845)"	""	"soort"	"0AHCYFBIIXIJ"	"1a"	
"Coenosia humilis Meigen, 1826"	""	"soort"	"0AHCYFBIIZJU"	"1a"	
"Coenosia intermedia (Fallén, 1825)"	""	"soort"	"0AHCYFBIJAKN"	"1a"	
"Coenosia lacteipennis (Zetterstedt, 1845)"	""	"soort"	"05VCDFKXPN3W"	"1a"	
