Synonym,Taxon
"Dermoglyphus megninii Berlese, 1881","Coleopterophagus megninii (Berlese, 1881)"
"Dermoleichus chrysomelinus Koch, 1841 sensu Oudemans, 1905","Coleopterophagus megninii (Berlese, 1881)"
"Colias australis (Verity, 1911)","Colias alfacariensis Ribbe, 1905"
"Colias croceus (Fourcroy, 1785)","Colias crocea (Geoffroy, 1785)"
"Camponotus truncatus Spinola, 1808","Colobopsis truncatus (Spinola, 1808)"
"Aquiligogus buteonis Eichler, 1954","Colpocephalum nanum Piaget, 1890"
"Aquiligogus nanus (Piaget, 1890)","Colpocephalum nanum Piaget, 1890"
"Autogneta willmanni (Dyrdowska, 1929)","Conchogneta delacarlica (Dyrdowska, 1929)"
"Conchogneta willmanni (Dyrdowska, 1929)","Conchogneta delacarlica (Dyrdowska, 1929)"
"Parachipteria willmanni (Drydowska, 1929)","Conchogneta delacarlica (Dyrdowska, 1929)"
"Spilonota signatipennis (Boheman, 1854)","Conchyloctenia signatipennis (Boheman, 1854)"
"Conicera atra Meigen, 1830","Conicera dauci (Meigen, 1830)"
"Conicera fulvipalpis Schmitz, 1920","Conicera floricola Schmitz, 1938"
"Conicera minuscula Schmitz, 1953","Conicera floricola Schmitz, 1938"
"Conicera pauxilla Schmitz, 1920","Conicera similis (Haliday, 1833)"
"Conicera albipennis (Meigen, 1830)","Conicera tibialis Schmitz, 1925"
"Conicera fallens Schmitz, 1948","Conicera tibialis Schmitz, 1925"
"Dasineura autumnalis (Mamaev, 1961)","Coniophora autumnalis (Mamaev, 1961)"
"Procystiphora autumnalis Mamaev, 1961","Coniophora autumnalis (Mamaev, 1961)"
"Conocephalus discolor (Thunberg, 1815)","Conocephalus fuscus (Fabricius, 1793)"
"Conops trifasciatus (Meigen in Gistle, 1835)","Conops strigatus Wiedemann in Meigen, 1834"
"Conops ferrugineus Macquart, 1834","Conops vesicularis Linnaeus, 1761"
"Contarinia barbichi (Kieffer, 1890)","Contarinia barbichei (Kieffer, 1890)"
"Contarinia corylina (Low, 1878)","Contarinia coryli (Kaltenbach, 1859)"
"Contarinia lonicerae Roskam, 2009","Contarinia lonicerearum (Low, 1877)"
"Contarinia geisenheyneri Rubsaamen, 1917","Contarinia nasturtii (Kieffer, 1888)"
"Contarinia ruderalis (Kieffer, 1890)","Contarinia nasturtii (Kieffer, 1888)"
"Contarinia torquens De Meijere, 1906","Contarinia nasturtii (Kieffer, 1888)"
"Contarinia pisicola De Meijere, 1911","Contarinia pisi (Loew, 1850)"
"Cooperia zurnabada Antipin, 1931","Cooperia surnabada Antipin, 1931"
"Cheiloneurus swederi Dalman, 1820","Copidosoma albipes (Westwood, 1837)"
"Copromyza similis (Collin, 1930)","Copromyza nigrina (Gimmerthal, 1847)"
"Atheta melanaria (Mannerheim, 1830)","Coprothassa melanaria (Mannerheim, 1830)"
"Pterolichus cuculi Megnin & Trouessart, 1884","Coraciacarus cuculi (Megnin & Trouessart, 1884)"
"Varicorbula gibba (Olivi, 1792)","Corbula gibba (Olivi, 1792)"
"Cordicomus instabilis (Schmidt, 1842)","Cordicollis instabilis (Schmidt, 1842)"
"Cordilura biseta Loew, 1864","Cordilura picipes (Meigen, 1826)"
"Cordulegaster annulata Latreille, 1805","Cordulegaster boltonii (Donovan, 1807)"
"Cordyla cinerea (Zetterstedt, 1852)","Cordyla crassicornis Meigen, 1818"
"Cordyla atra (Macquart, 1834)","Cordyla fusca Meigen, 1804"
"Cordyla sixi (Barendrecht, 1938)","Cordyla pusilla Edwards, 1925"
"Malachius viridis Fabricius, 1787","Cordylepherus viridis (Fabricius, 1787)"
"Coregonus maraena Bloch, 1779","Coregonus oxyrinchus (Linnaeus, 1758)"
"Gamasus lunaris Berlese, 1882","Cornigamasus lunaris (Berlese, 1882)"
"Gamasus rubescens Canestrini & Fanzago, 1882","Cornigamasus lunaris (Berlese, 1882)"
"Parasitus spinipediformis Tragardh, 1904","Cornigamasus lunaris (Berlese, 1882)"
"Alona rectangula Sars, 1862","Coronatella rectangula (Sars, 1862)"
"Corticaria linearis (Paykull, 1798)","Corticaria rubripes Mannerheim, 1844"
"Corticarina fuscula (Gyllenhal, 1827)","Corticarina minuta (Fabricius, 1792)"
"Coloeus monedula (Linnaeus, 1758)","Corvus monedula Linnaeus, 1758"
"Steenstrupia nutans (Sars, 1835)","Corymorpha nutans Sars, 1835"
"Actigia pusilla (Allman, 1871)","Coryne pusilla Gaertner, 1774"
"Coryne vanbenedenii Hincks, 1868","Coryne vanbenedeni (Hincks, 1868)"
"Corynocera olivieri Lindeberg, 1970","Corynocera oliveri Lindeberg, 1970"
"Corynoneura antennalis Kieffer, 1921","Corynoneura celeripes Winnertz, 1852"
"Corynoptera subflava (Lengersdorf, 1941)","Corynoptera trepida (Winnertz, 1867)"
"Flabellina verrucosa (Sars, 1829)","Coryphella verrucosa (Sars, 1829)"
"Corystus cassivelaunus (Pennant, 1777)","Corystes cassivelaunus (Pennant, 1777)"
"Baris scolopacea Germar, 1819","Cosmobaris scolopacea Germar, 1819"
"Cosmochthonius domesticus Grandjean, 1947","Cosmochthonius lanatus (Michael, 1885)"
"Tyroglyphus krameri Berlese, 1881","Cosmoglyphus krameri (Berlese, 1881)"
"Hypoaspis auris Karg, 1965","Cosmolaelaps claviger (Berlese, 1883)"
"Hypoaspis claviger (Berlese, 1883)","Cosmolaelaps claviger (Berlese, 1883)"
"Laelaps claviger Berlese, 1883","Cosmolaelaps claviger (Berlese, 1883)"
"Hypoaspis cuneifer (Michael, 1891)","Cosmolaelaps cuneifer (Michael, 1891)"
"Laelaps cuneifer Michael, 1891","Cosmolaelaps cuneifer (Michael, 1891)"
"Laelaps vacua Michael, 1891","Cosmolaelaps vacua (Michael, 1891)"
"Cratyna perniciosa (Edwards, 1922)","Cosmosciara perniciosa (Edwards, 1922)"
"Oxyptila blackwalli Simon, 1875","Cozyptila blackwalli (Simon, 1875)"
"Ozyptila blackwalli Simon, 1875","Cozyptila blackwalli (Simon, 1875)"
"Craesus varus (Villaret, 1832)","Craesus alniastri (Scharfenberg, 1805)"
"Craspedacusta sowerbyi Lankester, 1880","Craspedacusta sowerbii Lankester, 1880"
"Neocraspedolepta subpunctata (Foerster, 1848)","Craspedolepta subpunctata (Foerster, 1848)"
"Craspedosoma simile (Verhoeff, 1891)","Craspedosoma rawlinsi Leach, 1814"
"Cratichneumon fabricator (Fabricius, 1793)","Cratichneumon culex (Muller, 1776)"
"Perilampus batavus Smits van Burgst, 1918","Cratomus megacephalus (Fabricius, 1793)"
"Cratyna latiforceps (Bukowksi & Lengersdorf, 1936)","Cratyna ambigua (Lengersdorf, 1934)"
"Cratyna pictiventris (Kieffer, 1898)","Cratyna atra Winnertz, 1867"
"Cratyna socialis (Winnertz, 1871)","Cratyna perplexa (Winnertz, 1867)"
"Cratyna sociata (Winnertz, 1871)","Cratyna perplexa (Winnertz, 1867)"
"Galeruclerus meieri (Schenkling, 1900)","Cregya meieri (Schenkling, 1900)"
"Holobomolochus confusus (Stock, 1953)","Cresseyus confusus (Stock, 1953)"
"Cricotopus unifaciatus (Macquart, 1826)","Cricotopus albiforceps (Kieffer, 1916)"
"Cricotopus nigriventris (Van der Wulp, 1859)","Cricotopus obnixus (Walker, 1856)"
"Cricotopus oscillator (Meigen, 1818)","Cricotopus ornatus (Meigen, 1818)"
"Cricotopus annulipes (Meigen, 1818)","Cricotopus sylvestris (Fabricius, 1794)"
"Cricotopus motitator (Linnaeus, 1758)","Cricotopus sylvestris (Fabricius, 1794)"
"Bugula plumosa (Pallas, 1766)","Crisularia plumosa (Pallas, 1766)"
"Crossopalpus moriellus (Zetterstedt, 1838)","Crossopalpus curvipes (Meigen, 1822)"
"Crossopalpus ambiguus (Macquart, 1827)","Crossopalpus flexuosus (Loew, 1840)"
"Crossopalpus nervosus (Loew, 1859)","Crossopalpus nigritellus (Zetterstedt, 1842)"
"Cryphalus abietis (Ratzeburg, 1837)","Cryphalus asperatus (Gyllenhal, 1813)"
"Achaearanea riparia (Blackwall, 1834)","Cryptachaea riparia (Blackwall, 1834)"
"Cryptocephalus coerulescens Sahlberg, 1839","Cryptocephalus androgyne Marseul, 1875"
"Cryptocephalus hypochoeridis (Linnaeus, 1758)","Cryptocephalus hypochaeridis (Linnaeus, 1758)"
"Cryptonevra divergens (Loew, 1866)","Cryptonevra flavitarsis (Meigen, 1830)"
"Cryptophagus pseudodentatus Bruce, 1934","Cryptophagus denticulatus Heer, 1841"
"Cryptophagus thomsoni Reitter, 1875","Cryptophagus pallidus Sturm, 1845"
"Cryptophagus postpositus Sahlberg, 1903","Cryptophagus uncinatus Stephens, 1830"
"Orchestia cavimana Heller, 1865","Cryptorchestia cavimana (Heller, 1865)"
"Cteniopus flavus (Scopoli, 1763)","Cteniopus sulphureus (Linnaeus, 1758)"
"Murcia obsoleta Koch, 1841","Ctenobelba pectinigera (Berlese, 1908)"
"Ctenolepisma longicaudatum Escherich, 1905","Ctenolepisma longicaudata Escherich, 1905"
"Ctenopelma luteum Holmgren, 1857","Ctenopelma tomentosa (Desvignes, 1856)"
"Ctenopelma xanthostigmum Holmgren, 1857","Ctenopelma tomentosa (Desvignes, 1856)"
"Ctenophthalmus heselhausi (Oudemans, 1914)","Ctenophthalmus bisoctodentatus Kolenati, 1863"
"Ctenosciara annulata (Meigen, 1818)","Ctenosciara hyalipennis (Meigen, 1804)"
"Ctenosciara autumnalis (Winnertz, 1867)","Ctenosciara hyalipennis (Meigen, 1804)"
"Cubocephalus lacteator (Gravenhorst, 1829)","Cubocephalus sperator (Muller, 1776)"
"Cuclotogaster cinerea (Nitzsch in Giebel, 1866)","Cuclotogaster cinereus (Nitzsch in Giebel, 1866)"
"Cuclotogaster heterogrammica (Nitzsch in Giebel, 1866)","Cuclotogaster heterogrammicus (Nitzsch in Giebel, 1866)"
"Cuclotogaster heterographa (Nitzsch in Giebel, 1866)","Cuclotogaster heterographus (Nitzsch in Giebel, 1866)"
"Shargacucullia scrophulariae (Denis & Schiffermuller, 1775)","Cucullia scrophulariae (Denis & Schiffermuller, 1775)"
"Shargacucullia verbasci (Linnaeus, 1758)","Cucullia verbasci (Linnaeus, 1758)"
"Culicoides odibilis Austen, 1921","Culicoides festivipennis Kieffer, 1914"
"Culicoides odilis Austen, 1921","Culicoides festivipennis Kieffer, 1914"
"Culicoides cubitalis Edwards, 1939","Culicoides kibunensis Tokunaga, 1937"
"Culicoides pumilus (Winnertz, 1852)","Culicoides minutissimus (Zetterstedt, 1855)"
"Culicoides halophilus Kieffer, 1924","Culicoides newsteadi Austen, 1921"
"Culicoides varius (Winnertz, 1852)","Culicoides obsoletus (Meigen, 1818)"
"Culicoides arcuatus (Winnertz, 1852)","Culicoides pictipennis (Staeger, 1839)"
"Culicoides punctatidorsum (Kieffer, 1924)","Culicoides salinarius Kieffer, 1914"
"Culiseta theobaldi (De Meijere, 1911)","Culiseta fumipennis (Stephens, 1825)"
"Cultroribula falcata Evans, 1952","Cultroribula bicultrata (Berlese, 1904)"
"Cultroribula trifurcata Jacot, 1939","Cultroribula bicultrata (Berlese, 1904)"
"Cumopsis goodsiri (Van Beneden, 1861)","Cumopsis goodsir (Van Beneden, 1861)"
"Craneioba lawsonianae De Meijere, 1935","Cupressatia siskiyou (Felt, 1917)"
"Janetiella lawsonianae (De Meijere, 1935)","Cupressatia siskiyou (Felt, 1917)"
"Janetiella siskiyou Felt, 1917","Cupressatia siskiyou (Felt, 1917)"
"Ephistemus exiguus Erichson, 1846","Curelius exiguus (Erichson, 1846)"
"Syncalypta paleata Erichson, 1846","Curimopsis paleata (Erichson, 1846)"
"Syncalypta setosa (Waltl, 1838)","Curimopsis setosa (Waltl, 1838)"
"Cuthona concinna (Alder & Hancock, 1843)","Cuthonella concinna (Alder & Hancock, 1843)"
"Trinchesia concinna (Alder & Hancock, 1843)","Cuthonella concinna (Alder & Hancock, 1843)"
"Aricia semiargus (Rottemburg, 1775)","Cyaniris semiargus (Rottemburg, 1775)"
"Polyommatus semiargus (Rottemburg, 1775)","Cyaniris semiargus (Rottemburg, 1775)"
"Parus caeruleus Linnaeus, 1758","Cyanistes caeruleus (Linnaeus, 1758)"
"Cyclops furcifer Claus, 1857","Cyclops strenuus Fischer, 1851"
"Glyphodes perspectalis (Walker, 1859)","Cydalima perspectalis (Walker, 1859)"
"Cicidina trisignata (Dejean, 1822)","Cylindera trisignata (Dejean, 1822)"
"Cylindroiulus teutonicus (Pocock, 1900)","Cylindroiulus caeruleocinctus (Wood, 1864)"
"Cylindroiulus frisius (Verhoeff, 1891)","Cylindroiulus latestriatus (Curtis, 1845)"
"Cylindroiulus silvarum (Meinert, 1868)","Cylindroiulus punctatus (Leach, 1815)"
"Thaumaleus rigidus (Thompsno, 1888)","Cymbasoma rigidum Thompson, 1888"
"Thaumaleus thompsonii Giesbrecht, 1892","Cymbasoma thompsonii (Giesbrecht, 1892)"
"Cymbiodyta marginella (Fabricius, 1792)","Cymbiodyta marginellus (Fabricius, 1792)"
"Cypha nitida (Palm, 1936)","Cypha apicalis (Brisout, 1863)"
"Hypocyptus nitidus Palm, 1936","Cypha apicalis (Brisout, 1863)"
"Cypha imitator (Luze, 1902)","Cypha aprilis (Rey, 1882)"
"Hypocyptus ovulum Heer, 1839","Cypha ovulum (Heer, 1839)"
"Cypha hanseni (Palm, 1949)","Cypha seminulum (Erichson, 1839)"
"Asca affinis Oudemans, 1902","Cyrtolaelaps mucronatus (G. & R. Canestrini, 1881)"
"Gamasellus alienus Hull, 1918","Cyrtolaelaps mucronatus (G. & R. Canestrini, 1881)"
"Gamasellus brevispinosus Tragardh, 1910","Cyrtolaelaps mucronatus (G. & R. Canestrini, 1881)"
"Gamasellus major Pintchuk, 1972","Cyrtolaelaps mucronatus (G. & R. Canestrini, 1881)"
"Gamasellus rubicundus Hull, 1918","Cyrtolaelaps mucronatus (G. & R. Canestrini, 1881)"
"Gamasus mucronatus G. & R. Canestrini, 1881","Cyrtolaelaps mucronatus (G. & R. Canestrini, 1881)"
"Cystiphora hieracii (Low, 1874)","Cystiphora sanguinea (Bremi, 1847)"
"Cystiphora pilosellae Kieffer, 1892","Cystiphora sanguinea (Bremi, 1847)"
"Cytilus auricomus (Duftschmid, 1825)","Cytilus sericeus (Forster, 1771)"
"Sarcoptes nudus Vizioli, 1870","Cytodites nudus (Vizioli, 1870)"
"Longipedia tricalcarata (Trouessart & Neumann, 1888)","Dabertia tricalcarata (Trouessart & Neumann, 1888)"
"Apatetris kinkerella (Snellen, 1876)","Dactylotula kinkerella (Snellen, 1876)"
"Hypodamaeus auritus (Koch, 1835)","Damaeus auritus (Koch, 1835)"
"Oribata gracilipes Kulczynski, 1902","Damaeus auritus (Koch, 1835)"
"Daphnia psittacea (Baird, 1850)","Daphnia similis Claus, 1876"
"Dasineura arabis Barnes, 1927","Dasineura alpestris (Kieffer, 1909)"
"Jaapiella bergrothiana (Mik, 1889)","Dasineura bergrothiana (Mik, 1889)"
"Jaapiella floriperda (Low, 1888)","Dasineura bergrothiana (Mik, 1889)"
"Dasineura coryli Rubsaamen, 1912","Dasineura corylina (Kieffer, 1913)"
"Dasineura jaapiana Rubsaamen, 1917","Dasineura harrisoni (Bagnall, 1922)"
"Dasineura acercrispans (Kieffer, 1888)","Dasineura irregularis (Bremi, 1847)"
"Dasineura flosculorum (Kieffer, 1890)","Dasineura leguminicola (Lintner, 1879)"
"Dasineura ignorata (Wachtl, 1884)","Dasineura medicaginis (Bremi, 1847)"
"Dasineura myrtilli Rubsaamen, 1916","Dasineura myrtylli Rubsaamen, 1916"
"Dasineura brassicae (Winnertz, 1853)","Dasineura napi (Loew, 1850)"
"Rabdophaga pseudococcus (Thomas, 1890)","Dasineura pseudococcus (Thomas, 1890)"
"Dasineura filicina (Kieffer, 1889)","Dasineura pteridis (Muller, 1871)"
"Wachtliella rosarum (Hardy, 1850)","Dasineura rosae (Bremi, 1847)"
"Dasineura spadica Roskam, 2009","Dasineura spadicea Rubsaamen, 1917"
"Dasineura galeobdolontis (Winnertz, 1853)","Dasineura strumosa (Bremi, 1847)"
"Dasineura tiliamvolvens (Rubsaamen, 1889)","Dasineura tiliae (Schrank, 1803)"
"Dasineura alni (Low, 1877)","Dasineura tortilis (Bremi, 1847)"
"Dasineura tubicola (Kieffer, 1889)","Dasineura tubicoloides Gagne, 2004"
"Dasyhelea aestiva (Winnertz, 1852)","Dasyhelea modesta (Winnertz, 1852)"
"Dasyhelea obscura (Winnertz, 1852)","Dasyhelea septuosa Borkent, 1997"
"Dasyhelea brevitibialis (Goetghebuer, 1919)","Dasyhelea versicolor (Winnertz, 1852)"
"Dasyphora saltuum Rondani, 1862","Dasyphora albofasciata (Macquart in Webb & Berthelot, 1839)"
"Dasypoda altercator (Harris, 1776)","Dasypoda hirtipes (Fabricius, 1793)"
"Dasypoda plumipes (Panzer, 1797)","Dasypoda hirtipes (Fabricius, 1793)"
"Dasysyrphus confusus (Egger, 1860)","Dasysyrphus albostriatus (Fallen, 1817)"
"Dasysyrphus arcuatus (Fallen, 1817)","Dasysyrphus venustus (Meigen, 1822)"
"Dasysyrphus lunatus (Meigen, 1822)","Dasysyrphus venustus (Meigen, 1822)"
"Dasytes aerosus Kiesenwetter, 1867","Dasytes aeratus Stephens, 1830"
"Dasytes cyaneus (Fabricius, 1775)","Dasytes caeruleus (De Geer, 1774)"
"Allopauropus cuenoti (Remy, 1931)","Decapauropus cuenoti Remy, 1931"
"Allopauropus distinctus Bagnall, 1936","Decapauropus distinctus (Bagnall, 1936)"
"Allopauropus gracilis (Hansen, 1902)","Decapauropus gracilis (Hansen, 1902)"
"Allopauropus montidiabolus Scheller, 2003","Decapauropus montidiabolus (Scheller, 2003)"
"Allopauropus multiplex Remy, 1936","Decapauropus multiplex (Remy, 1936)"
"Allopauropus tenuis Remy, 1948","Decapauropus tenuis (Remy, 1948)"
"Allopauropus vulgaris (Hansen, 1902)","Decapauropus vulgaris (Hansen, 1902)"
"Stenhelia palustris (Brady, 1868)","Delavalia palustris (Brady, 1868)"
"Delia arenosa (Zetterstedt, 1845)","Delia albula (Fallen, 1825)"
"Delia scatophagina (Zetterstedt, 1838)","Delia angustifrons (Meigen, 1826)"
"Delia elymi (Ringdahl, 1916)","Delia bisetosa (Stein, 1907)"
"Delia garbiglietti (Rondani, 1866)","Delia coarctata (Fallen, 1825)"
"Delia paralleliventris (Zetterstedt, 1845)","Delia coarctata (Fallen, 1825)"
"Delia trichodactyla (Rondani, 1866)","Delia florilega (Zetterstedt, 1845)"
"Delia flavisquama (Stein, 1916)","Delia interflua (Pandelle, 1900)"
"Delia insularis (Kuntze, 1894)","Delia lavata (Boheman, 1863)"
"Delia candens (Zetterstedt, 1845)","Delia pallipennis (Zetterstedt, 1838)"
"Delia pilipyga (Villeneuve, 1917)","Delia planipalpis (Stein, 1898)"
"Delia cilicrura (Rondani, 1866)","Delia platura (Meigen, 1826)"
"Delia fusciceps (Zetterstedt, 1845)","Delia platura (Meigen, 1826)"
"Delia brassicae (Bouche, 1833)","Delia radicum (Linnaeus, 1758)"
"Delichon urbica (Linnaeus, 1758)","Delichon urbicum (Linnaeus, 1758)"
"Pempeliella dilutella (Denis & Schiffermuller, 1775)","Delplanqueia dilutella (Denis & Schiffermuller, 1775)"
"Protodeltote pygarga (Hufnagel, 1766)","Deltote pygarga (Hufnagel, 1766)"
"Lithacodia uncula (Clerck, 1759)","Deltote uncula (Clerck, 1759)"
"Demicryptochironomus atriforceps (Goetghebuer, 1928)","Demicryptochironomus vulneratus (Zetterstedt, 1838)"
"Demicryptochironomus nigrimanus (Staeger, 1839)","Demicryptochironomus vulneratus (Zetterstedt, 1838)"
"Demoticus plebeius (Fallen, 1810)","Demoticus plebejus (Fallen, 1810)"
"Seius cornutus Kramer, 1886","Dendrolaelaps cornutus (Kramer, 1886)"
"Digamasellus foveolatus Leitner, 1949","Dendrolaelaps foveolatus (Leitner, 1949)"
"Digamasellus halophilus Willmann, 1951","Dendrolaelaps halophilus (Willmann, 1951)"
"Digamasellus latior Leitner, 1949","Dendrolaelaps latior (Leitner, 1949)"
"Gamasellus presepum Berlese, 1918","Dendrolaelaps presepum (Berlese, 1918)"
"Digamasellus septentrionalis Sellnick, 1958","Dendrolaelaps septentrionalis (Sellnick, 1958)"
"Dendrocopos medius (Linnaeus, 1758)","Dendropicos medius (Linnaeus, 1758)"
"Xylodrepa quadrimaculata (Scopoli, 1771)","Dendroxena quadrimaculata (Scopoli, 1771)"
"Chortodes pygmina (Haworth, 1809)","Denticucullus pygmina (Haworth, 1809)"
"Depressaria heraclei (Retzius, 1783)","Depressaria radiella (Goeze, 1783)"
"Homopys sciurinus Koch, 1842","Dermacarus sciurinus (Koch, 1842)"
"Acarus gallinae De Geer, 1778","Dermanyssus gallinae (De Geer, 1778)"
"Dermanyssus avium Duges, 1834","Dermanyssus gallinae (De Geer, 1778)"
"Dermanyssus evotomydis Evans, 1933","Dermanyssus gallinae (De Geer, 1778)"
"Acarus hirundinis Hermann, 1804","Dermanyssus hirundinis (Hermann, 1804)"
"Dermatophagoides culinae De Leon, 1963","Dermatophagoides farinae Hughes, 1961"
"Dermatophagoides takeuchii (Sasa, 1948)","Dermatophagoides farinae Hughes, 1961"
"Visceroptes takeuchii Sasa, 1948","Dermatophagoides farinae Hughes, 1961"
"Mealia toxopei Oudemans, 1928","Dermatophagoides pteronyssinus (Trouessart, 1897)"
"Metalia pteronyssina Trouessart, 1897","Dermatophagoides pteronyssinus (Trouessart, 1897)"
"Paralgoides pteronyssoides Trouessart, 1886","Dermatophagoides pteronyssinus (Trouessart, 1897)"
"Visceroptes satoi Sasa, 1947","Dermatophagoides pteronyssinus (Trouessart, 1897)"
"Pterolichus parallelilobus Trouessart, 1886","Dermonoton parallelilobus (Trouessart, 1886)"
"Dero digitata (Muller, 1773)","Dero digitata (Muller, 1774)"
"Dero dorsalis Ferroniere, 1889","Dero dorsalis Ferroniere, 1899"
"Dero nivea Aiyer, 1929","Dero nivea Aiyer, 1929"
"Deroceras panormitanum (Lessona & Pollonera, 1882)","Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011"
"Chrysocharis viridicoxis Foerster, 1861","Derostenus punctiscuta Thomson, 1878"
"Talorchestia deshayesii (Audouin, 1826)","Deshayesorchestia deshayesii (Audouin, 1826)"
"Onychiurus cebennarius Gisin, 1956","Deuteraphorura inermis (Tullberg, 1869)"
"Onychiurus fimetaria (Linnaeus, 1767)","Deuteraphorura inermis (Tullberg, 1869)"
"Deuterosminthurus flavus (Gisin, 1946)","Deuterosminthurus bicinctus (Koch, 1840)"
"Deuterosminthurus repandus Agren, 1903","Deuterosminthurus pallipes (Bourlet, 1843)"
"Dexiopsis litoralis (Zetterstedt, 1846)","Dexiopsis ruficornis (Macquart, 1835)"
"Diadumene luciae (Verrill, 1898)","Diadumene lineata (Verrill, 1869)"
"Haliplanella lineata (Verrill, 1869)","Diadumene lineata (Verrill, 1869)"
"Diaphorus tripilus Loew, 1857","Diaphorus hoffmannseggi Meigen, 1830"
"Oribates picipes Hull, 1913","Diapterobates humeralis (Hermann, 1804)"
"Diastata unipunctata Zetterstedt, 1847","Diastata adusta Meigen, 1830"
"Diastata inornata Loew, 1864","Diastata fuscula (Fallen, 1823)"
"Calliteara fascelina (Linnaeus, 1758)","Dicallomera fascelina (Linnaeus, 1758)"
"Dicheirotrichus gustavi Crotch, 1781","Dicheirotrichus gustavii Crotch, 1781"
"Dicraeus bipunctata (Macquart, 1835)","Dicraeus tibialis (Macquart, 1835)"
"Dicraeus pallidiventris (Macquart, 1835)","Dicraeus tibialis (Macquart, 1835)"
"Dicraeus xanthopygus (Strobl, 1909)","Dicraeus vagans (Meigen, 1838)"
"Dicranomyia ostensackeni Westhoff, 1882","Dicranomyia frontalis (Staeger, 1840)"
"Dicranomyia pilipennis (Egger, 1863)","Dicranomyia fusca (Meigen, 1804)"
"Dicranomyia lutea (Meigen, 1818)","Dicranomyia mitis (Meigen, 1830)"
"Dicranomyia leucocephala (Meigen, 1818)","Dicranomyia morio (Fabricius, 1787)"
"Dicranomyia forcipula De Meijere, 1918","Dicranomyia sera (Walker, 1848)"
"Dicranota longitarsis Bergroth, 1891","Dicranota pavida (Haliday, 1833)"
"Dicrotendipes miriforceps (Kieffer, 1922)","Dicrotendipes lobiger (Kieffer, 1921)"
"Dicrotendipes bipartitus (Kieffer, 1915)","Dicrotendipes nervosus (Staeger, 1839)"
"Dicrotendipes brevitibialis (Zetterstedt, 1850)","Dicrotendipes nervosus (Staeger, 1839)"
"Dicrotendipes falciformis (Kieffer, 1912)","Dicrotendipes nervosus (Staeger, 1839)"
"Dicrotendipes rufolineatus (Goetghebuer, 1928)","Dicrotendipes notatus (Meigen, 1818)"
"Dicrotendipes modestus (Say, 1823)","Dicrotendipes pulsus (Walker, 1856)"
"Didymomyia reaumuriana (Low, 1878)","Didymomyia tiliacea (Bremi, 1847)"
"Dysmachus picipes (Meigen, 1820)","Didysmachus picipes (Meigen, 1820)"
"Cartodere beloni Reitter, 1882","Dienerella beloni (Reitter, 1882)"
"Cartodere costulata Reitter, 1877","Dienerella costulata (Reitter, 1877)"
"Dienerella elongata (Curtis, 1830)","Dienerella vincenti Johnson, 2007"
"Tachycines asynamorus Adelung, 1902","Diestrammena asynamora (Adelung, 1902)"
"Chlorocytus longiscapus Graham, 1965","Diglochis sylvicola (Walker, 1835)"
"Diglotta submarina (Fairmaire & Laboulbene, 1856)","Diglotta mersa (Haliday, 1837)"
"Atheta luteipes (Erichson, 1837)","Dilacra luteipes (Erichson, 1837)"
"Atheta vilis (Erichson, 1837)","Dilacra vilis (Erichson, 1837)"
"Dilophus vulgaris Meigen, 1818","Dilophus febrilis (Linnaeus, 1758)"
"Dilophus albipennis Meigen, 1830","Dilophus femoratus Meigen, 1804"
"Staphylinus fossor (Scopoli, 1771)","Dinothenarus fossor (Scopoli, 1771)"
"Coruna aphidiphagus Ratzeburg, 1844","Dinotoides tenebricus (Walker, 1834)"
"Phyllodinychus arcuatus Tragardh, 1943","Dinychus arcuatus (Tragardh, 1943)"
"Dinychus varthismithii Hull, 1936","Dinychus inermis (Koch, 1839)"
"Sejus inermis Koch, 1839","Dinychus inermis (Koch, 1839)"
"Woelkeidinychus woelkei (Hirschmann & Zirngiebl-Nicol, 1969)","Dinychus woelkei Hirschmann & Zirngiebl-Nicol, 1969"
"Dioctria reinhardi Meigen, 1820","Dioctria cothurnata Meigen, 1820"
"Dioctria baumhaueri Meigen, 1820","Dioctria hyalipennis (Fabricius, 1794)"
"Dioctria flavipes Meigen, 1804","Dioctria hyalipennis (Fabricius, 1794)"
"Pagurus pugilator Roux, 1829","Diogenes pugilator (Roux, 1829)"
"Diosassus tenuicornis (Claus, 1863)","Diosaccus tenuicornis (Claus, 1863)"
"Dioxyna elongatula Loew, 1844","Dioxyna bidentis (Robineau-Desvoidy, 1830)"
"Acarus bifidus Nitzsch, 1818","Diplaegidia columbae (Buchholz, 1869)"
"Analges asternalis Megnin in Robin & Megnin, 1877","Diplaegidia columbae (Buchholz, 1869)"
"Dermaleichus columbae Buchholz, 1869","Diplaegidia columbae (Buchholz, 1869)"
"Dimorphus bifidus (Nitzsch, 1818)","Diplaegidia columbae (Buchholz, 1869)"
"Megniniella columbae (Buchholz, 1869)","Diplaegidia columbae (Buchholz, 1869)"
"Diplonevra abdominalis (Fallen, 1823)","Diplonevra florescens (Turton, 1801)"
"Diplonevra flexuosa (Egger, 1862)","Diplonevra florescens (Turton, 1801)"
"Diplonevra florea (Fabricius, 1794)","Diplonevra florescens (Turton, 1801)"
"Diplonevra palpina (Zetterstedt, 1848)","Diplonevra florescens (Turton, 1801)"
