top	"Animalia"
rangen	"(alle)
statussen	"(0,0a,1,1a,1b,2,2a,2b,2c,2d,3a,3b,3c,3cE,3d,4)"

"synonym"	"type_synonym"	"language"	"taxon"	"taxon_nsr_id"	"rank"	
"Gestreept traliedrijfhorentje"	"isPreferredNameOf"	"Dutch"	"Crisilla semistriata (Montagu, 1808)"	"0A0LN8VTBNBL"	
"Bugula plumosa (Pallas, 1766)"	"isSynonymOf"	"Scientific"	"Crisularia plumosa (Pallas, 1766)"	"0AHCYSI11495"	
"Spiraalmosdiertje"	"isPreferredNameOf"	"Dutch"	"Crisularia plumosa (Pallas, 1766)"	"0AHCYSI11495"	
"Kortzuiger"	"isPreferredNameOf"	"Dutch"	"Crocallis elinguaria (Linnaeus, 1758)"	"0AHCYFCJXMFW"	
"Wereldbladroller"	"isPreferredNameOf"	"Dutch"	"Crocidosema plebejana Zeller, 1847"	"0AHCYFCNDWTV"	
"Veldspitsmuis"	"isPreferredNameOf"	"Dutch"	"Crocidura leucodon (Hermann, 1780)"	"000465031618"	
"Huisspitsmuis"	"isPreferredNameOf"	"Dutch"	"Crocidura russula (Hermann, 1780)"	"000465031625"	
"Vuurlibel"	"isPreferredNameOf"	"Dutch"	"Crocothemis erythraea (Brullé, 1832)"	"0AHCYFBZZCTI"	
"Streepzaadvedermot"	"isPreferredNameOf"	"Dutch"	"Crombrugghia distans (Zeller, 1847)"	"0AHCYFCMLLIZ"	
"Steekmuggendoder"	"isPreferredNameOf"	"Dutch"	"Crossocerus quadrimaculatus (Fabricius, 1793)"	"0AHCYFCQLRHN"	
"Haftendoder"	"isPreferredNameOf"	"Dutch"	"Crossocerus walkeri (Shuckard, 1837)"	"0AHCYFCQLWYK"	
"Crossopalpus moriellus (Zetterstedt, 1838)"	"isSynonymOf"	"Scientific"	"Crossopalpus curvipes (Meigen, 1822)"	"0AHCYFBHILBZ"	
"Crossopalpus ambiguus (Macquart, 1827)"	"isSynonymOf"	"Scientific"	"Crossopalpus flexuosus (Loew, 1840)"	"0AHCYFBHIMCR"	
"Crossopalpus nervosus (Loew, 1859)"	"isSynonymOf"	"Scientific"	"Crossopalpus nigritellus (Zetterstedt, 1842)"	"0AHCYFBHIQBB"	
"Egaal raspspinnetje"	"isPreferredNameOf"	"Dutch"	"Crustulina sticta (Cambridge, 1861)"	"0AHCYFOOTOKK"	
"Cryphalus abietis (Ratzeburg, 1837)"	"isSynonymOf"	"Scientific"	"Cryphalus asperatus (Gyllenhal, 1813)"	"0AHCYFBWJXMY"	
"Gekorrelde sparrenschorskever"	"isPreferredNameOf"	"Dutch"	"Cryphalus asperatus (Gyllenhal, 1813)"	"0AHCYFBWJXMY"	
"Donkergroene korstmosuil"	"isPreferredNameOf"	"Dutch"	"Cryphia algae (Fabricius, 1775)"	"0AHCYFCLTCIY"	
"Kleine bostrechterspin"	"isPreferredNameOf"	"Dutch"	"Cryphoeca silvicola (Koch, 1834)"	"0AHCYFOOGECD"	
"Bruine granietuil"	"isPreferredNameOf"	"Dutch"	"Crypsedra gemmea (Treitschke, 1825)"	"0AHCYFCLTHEA"	
"Achaearanea riparia (Blackwall, 1834)"	"isSynonymOf"	"Scientific"	"Cryptachaea riparia (Blackwall, 1834)"	"0AHCYFOOTJOW"	
"Bermkogelspin"	"isPreferredNameOf"	"Dutch"	"Cryptachaea riparia (Blackwall, 1834)"	"0AHCYFOOTJOW"	
"Vlugge zwartlijf"	"isPreferredNameOf"	"Dutch"	"Crypticus quisquilius (Linnaeus, 1760)"	"0AHCYFBYQUQK"	
"Vlugge zwartlijftor"	"isAlternativeNameOf"	"Dutch"	"Crypticus quisquilius (Linnaeus, 1760)"	"0AHCYFBYQUQK"	
"Boslichtmot"	"isPreferredNameOf"	"Dutch"	"Cryptoblabes bistriga (Haworth, 1811)"	"0AHCYFCMOBYH"	
"Citruslichtmot"	"isPreferredNameOf"	"Dutch"	"Cryptoblabes gnidiella (Millière, 1867)"	"0AHCYFCMOCZA"	
"Cryptocephalus coerulescens Sahlberg, 1839"	"isSynonymOf"	"Scientific"	"Cryptocephalus androgyne Marseul, 1875"	"0AHCYFBSBFPB"	
"Hazelaarvalkever"	"isPreferredNameOf"	"Dutch"	"Cryptocephalus coryli (Linnaeus, 1758)"	"0AHCYFBSBGPU"	
"Geelpootvalkever"	"isPreferredNameOf"	"Dutch"	"Cryptocephalus flavipes Fabricius, 1781"	"0AHCYFBSBIRE"	
"Grassteilkopje"	"isPreferredNameOf"	"Dutch"	"Cryptocephalus fulvus (Goeze, 1777)"	"0AHCYFBSBJRX"	
"Composietensteilkopje"	"isPreferredNameOf"	"Dutch"	"Cryptocephalus hypochaeridis (Linnaeus, 1758)"	"0AHCYFBSBLTI"	
"Cryptocephalus hypochoeridis (Linnaeus, 1758)"	"isMisspelledNameOf"	"Scientific"	"Cryptocephalus hypochaeridis (Linnaeus, 1758)"	"0AHCYFBSBLTI"	
"Kleine composietenvalkever"	"isAlternativeNameOf"	"Dutch"	"Cryptocephalus hypochaeridis (Linnaeus, 1758)"	"0AHCYFBSBLTI"	
"Geelvlekvalkever"	"isAlternativeNameOf"	"Dutch"	"Cryptocephalus moraei (Linnaeus, 1758)"	"0AHCYFBSBPWE"	
"Hertshooisteilkopje"	"isPreferredNameOf"	"Dutch"	"Cryptocephalus moraei (Linnaeus, 1758)"	"0AHCYFBSBPWE"	
"Dennensteilkopje"	"isPreferredNameOf"	"Dutch"	"Cryptocephalus pini (Linnaeus, 1758)"	"0AHCYFBSBWAW"	
"Geel dennenhaantje"	"isAlternativeNameOf"	"Dutch"	"Cryptocephalus pini (Linnaeus, 1758)"	"0AHCYFBSBWAW"	
"Gele dennenhaantje"	"isAlternativeNameOf"	"Dutch"	"Cryptocephalus pini (Linnaeus, 1758)"	"0AHCYFBSBWAW"	
"Groen steilkopje"	"isPreferredNameOf"	"Dutch"	"Cryptocephalus sericeus (Linnaeus, 1758)"	"0AHCYFBSCBEK"	
"Groene valkever"	"isAlternativeNameOf"	"Dutch"	"Cryptocephalus sericeus (Linnaeus, 1758)"	"0AHCYFBSCBEK"	
"Zijachtige valkever"	"isAlternativeNameOf"	"Dutch"	"Cryptocephalus sericeus (Linnaeus, 1758)"	"0AHCYFBSCBEK"	
"Zesstippelvalkever"	"isPreferredNameOf"	"Dutch"	"Cryptocephalus sexpunctatus (Linnaeus, 1758)"	"0AHCYFBSCCFC"	
"Gestreept steilkopje"	"isPreferredNameOf"	"Dutch"	"Cryptocephalus vittatus Fabricius, 1775"	"0AHCYFBSCDGH"	
"Beukenschorsluis"	"isPreferredNameOf"	"Dutch"	"Cryptococcus fagisuga Lindinger, 1936"	"0AHCYFAQDIAV"	
"Roestbruine graankever"	"isPreferredNameOf"	"Dutch"	"Cryptolestes ferrugineus (Stephens, 1831)"	"0AHCYFBUZQZB"	
"Gele aalbesseluis"	"isAlternativeNameOf"	"Dutch"	"Cryptomyzus galeopsidis (Kaltenbach, 1843)"	"0AHCYSI00995"	
"Hennepnetelluis"	"isPreferredNameOf"	"Dutch"	"Cryptomyzus galeopsidis (Kaltenbach, 1843)"	"0AHCYSI00995"	
"Korschelts luis"	"isPreferredNameOf"	"Dutch"	"Cryptomyzus korschelti Börner, 1938"	"0AHCYSI01007"	
"Bloedblaarluis"	"isPreferredNameOf"	"Dutch"	"Cryptomyzus ribis (Linnaeus, 1758)"	"0AHCYSI00988"	
"Cryptonevra divergens (Loew, 1866)"	"isSynonymOf"	"Scientific"	"Cryptonevra flavitarsis (Meigen, 1830)"	"0AHCYFBFGRIG"	
"Cryptophagus cylindrus auct."	"isSynonymOf"	"Scientific"	"Cryptophagus cylindrellus Johnson, 2007"	"0AHCYFBSVZIQ"	
"Cryptophagus pseudodentatus Bruce, 1934"	"isSynonymOf"	"Scientific"	"Cryptophagus denticulatus Heer, 1841"	"0AHCYFBSWMSH"	
"Stuifzwamkevertje"	"isPreferredNameOf"	"Dutch"	"Cryptophagus lycoperdi (Scopoli, 1763)"	"0AHCYFBSWGNP"	
"Cryptophagus pubescens micaceus Rey, 1889"	"isSynonymOf"	"Scientific"	"Cryptophagus micaceus Rey, 1889"	"0AHCYFBSWHOT"	
"Cryptophagus thomsoni Reitter, 1875"	"isSynonymOf"	"Scientific"	"Cryptophagus pallidus Sturm, 1845"	"0AHCYFBSWWZV"	
"Cryptophagus pilosus auct."	"isSynonymOf"	"Scientific"	"Cryptophagus punctipennis Brisout, 1863"	"0AHCYFBSWJQE"	
"Cryptophagus pallidus auct."	"isSynonymOf"	"Scientific"	"Cryptophagus reflexus Rey, 1889"	"0AHCYFBSWIPL"	
"Cryptophagus postpositus Sahlberg, 1903"	"isSynonymOf"	"Scientific"	"Cryptophagus uncinatus Stephens, 1830"	"0AHCYFBSWLRP"	
"Grote bladkruiper"	"isPreferredNameOf"	"Dutch"	"Cryptops anomalans Newport, 1844"	"0AHCYFAOKBQZ"	
"Tuinbladkruiper"	"isPreferredNameOf"	"Dutch"	"Cryptops hortensis (Donovan, 1810)"	"0AHCYFAOKCRS"	
"Kleibladkruiper"	"isPreferredNameOf"	"Dutch"	"Cryptops parisi Brölemann, 1920"	"0AHCYFAOKDSK"	
"Hemistoma exilis"	"isSynonymSLOf"	"Scientific"	"Cryptopygus exilis (Gisin, 1960)"	"05A494224C6F"	
"Orchestia cavimana Heller, 1865"	"isSynonymOf"	"Scientific"	"Cryptorchestia cavimana (Heller, 1865)"	"0AHCYSI11738"	
"Bonte elzensnuitkever"	"isAlternativeNameOf"	"Dutch"	"Cryptorhynchus lapathi (Linnaeus, 1758)"	"0AHCYFBTDVFC"	
"Bonte elzensnuittor"	"isAlternativeNameOf"	"Dutch"	"Cryptorhynchus lapathi (Linnaeus, 1758)"	"0AHCYFBTDVFC"	
"Elzensnuitkever"	"isPreferredNameOf"	"Dutch"	"Cryptorhynchus lapathi (Linnaeus, 1758)"	"0AHCYFBTDVFC"	
"Elzensnuittor"	"isAlternativeNameOf"	"Dutch"	"Cryptorhynchus lapathi (Linnaeus, 1758)"	"0AHCYFBTDVFC"	
"Elzesnuitkever"	"isAlternativeNameOf"	"Dutch"	"Cryptorhynchus lapathi (Linnaeus, 1758)"	"0AHCYFBTDVFC"	
"Wilgensnuitkever"	"isAlternativeNameOf"	"Dutch"	"Cryptorhynchus lapathi (Linnaeus, 1758)"	"0AHCYFBTDVFC"	
"Wilgensnuittor"	"isAlternativeNameOf"	"Dutch"	"Cryptorhynchus lapathi (Linnaeus, 1758)"	"0AHCYFBTDVFC"	
"Gewone bijvoetluis"	"isPreferredNameOf"	"Dutch"	"Cryptosiphum artemisiae Buckton, 1879"	"04IMRQASOWMU"	
"Pallas' mosdiertje"	"isPreferredNameOf"	"Dutch"	"Cryptosula pallasiana (Moll, 1803)"	"0AHCYSI11499"	
"Kleine sparrenschorskever"	"isPreferredNameOf"	"Dutch"	"Crypturgus pusillus (Gyllenhal, 1813)"	"0AHCYFBWKAGE"	
"Kristalgrondel"	"isPreferredNameOf"	"Dutch"	"Crystallogobius linearis (Von Düben, 1845)"	"000455864483"	
"Gekamde kniptor"	"isPreferredNameOf"	"Dutch"	"Ctenicera pectinicornis (Linnaeus, 1758)"	"0AHCYFBUGJUL"	
"Kamkniptor"	"isAlternativeNameOf"	"Dutch"	"Ctenicera pectinicornis (Linnaeus, 1758)"	"0AHCYFBUGJUL"	
"Voelhorenkniptor"	"isAlternativeNameOf"	"Dutch"	"Ctenicera pectinicornis (Linnaeus, 1758)"	"0AHCYFBUGJUL"	
"Cteniopus flavus (Scopoli, 1763)"	"isSynonymOf"	"Scientific"	"Cteniopus sulphureus (Linnaeus, 1758)"	"0AHCYFBQFGOB"	
"Gele bloemenkevertje"	"isAlternativeNameOf"	"Dutch"	"Cteniopus sulphureus (Linnaeus, 1758)"	"0AHCYFBQFGOB"	
"Zwavelgele bloemenkever"	"isPreferredNameOf"	"Dutch"	"Cteniopus sulphureus (Linnaeus, 1758)"	"0AHCYFBQFGOB"	
"Murcia obsoleta Koch, 1841"	"isSynonymOf"	"Scientific"	"Ctenobelba pectinigera (Berlese, 1908)"	"0M0DOXGJYSVG"	
"Hondenvlo"	"isPreferredNameOf"	"Dutch"	"Ctenocephalides canis (Curtis, 1826)"	"0AHCYFAQMILA"	
"Kattenvlo"	"isPreferredNameOf"	"Dutch"	"Ctenocephalides felis (Bouché, 1835)"	"0AHCYFAQMJHG"	
"Kliplipvis"	"isPreferredNameOf"	"Dutch"	"Ctenolabrus rupestris (Linnaeus, 1758)"	"000455864204"	
"Vierstreepzilvervisje"	"isPreferredNameOf"	"Dutch"	"Ctenolepisma lineata (Fabricius, 1775)"	"0L7K85ZGAAFR"	
"Ctenolepisma longicaudatum Escherich, 1905"	"isMisspelledNameOf"	"Scientific"	"Ctenolepisma longicaudata Escherich, 1905"	"0AHCYFCCGRXC"	"soort"	
"Papiervisje"	"isPreferredNameOf"	"Dutch"	"Ctenolepisma longicaudata Escherich, 1905"	"0AHCYFCCGRXC"	
"Ctenopelma luteum Holmgren, 1857"	"isSynonymOf"	"Scientific"	"Ctenopelma tomentosa (Desvignes, 1856)"	"0AHCYFATXRWZ"	
"Ctenopelma xanthostigmum Holmgren, 1857"	"isSynonymOf"	"Scientific"	"Ctenopelma tomentosa (Desvignes, 1856)"	"0AHCYFATXRWZ"	
"Graskarper"	"isPreferredNameOf"	"Dutch"	"Ctenopharyngodon idella (Valenciennes, 1844)"	"0AHCYFCGVYTW"	
"Gele kamlangpootmug"	"isPreferredNameOf"	"Dutch"	"Ctenophora ornata Meigen, 1818"	"0AHCYFBOBHWR"	
"Ctenophthalmus bisoctodentatus heselhausi (Oudemans, 1914)"	"isSynonymOf"	"Scientific"	"Ctenophthalmus bisoctodentatus Kolenati, 1863"	"0AHCYFAQKNYW"	
"Ctenophthalmus heselhausi (Oudemans, 1914)"	"isSynonymOf"	"Scientific"	"Ctenophthalmus bisoctodentatus Kolenati, 1863"	"0AHCYFAQKNYW"	
"Ctenosciara annulata (Meigen, 1818)"	"isSynonymOf"	"Scientific"	"Ctenosciara hyalipennis (Meigen, 1804)"	"0AHCYFBLDUDL"	
"Ctenosciara autumnalis (Winnertz, 1867)"	"isSynonymOf"	"Scientific"	"Ctenosciara hyalipennis (Meigen, 1804)"	"0AHCYFBLDUDL"	
"Cubocephalus lacteator (Gravenhorst, 1829)"	"isSynonymOf"	"Scientific"	"Cubocephalus sperator (Müller, 1776)"	"0AHCYFATXYXY"	
"Cuclotogaster cinerea (Nitzsch in Giebel, 1866)"	"isMisspelledNameOf"	"Scientific"	"Cuclotogaster cinereus (Nitzsch in Giebel, 1866)"	"0AHCYSI03426"	
"Cuclotogaster heterogrammica (Nitzsch in Giebel, 1866)"	"isMisspelledNameOf"	"Scientific"	"Cuclotogaster heterogrammicus (Nitzsch in Giebel, 1866)"	"0AHCYSI03423"	
"Cuclotogaster heterographa (Nitzsch in Giebel, 1866)"	"isMisspelledNameOf"	"Scientific"	"Cuclotogaster heterographus (Nitzsch in Giebel, 1866)"	"0AHCYSI03424"	
"Vermiljoenkever"	"isPreferredNameOf"	"Dutch"	"Cucujus cinnaberinus (Scopoli, 1763)"	"0B22D5F24FC4"	
"Absintmonnik"	"isPreferredNameOf"	"Dutch"	"Cucullia absinthii (Linnaeus, 1761)"	"0AHCYFCLTIWN"	
"Bijvoetmonnik"	"isPreferredNameOf"	"Dutch"	"Cucullia artemisiae (Hufnagel, 1766)"	"0AHCYFCLTJXG"	
"Astermonnik"	"isPreferredNameOf"	"Dutch"	"Cucullia asteris (Denis & Schiffermüller, 1775)"	"0AHCYFCLTKXY"	
"Kamillevlinder"	"isPreferredNameOf"	"Dutch"	"Cucullia chamomillae (Denis & Schiffermüller, 1775)"	"0AHCYFCLTLYR"	
"Helmkruidvlinder"	"isPreferredNameOf"	"Dutch"	"Cucullia scrophulariae (Denis & Schiffermüller, 1775)"	"0AHCYFCMFCBL"	
"Shargacucullia scrophulariae (Denis & Schiffermüller, 1775)"	"isSynonymOf"	"Scientific"	"Cucullia scrophulariae (Denis & Schiffermüller, 1775)"	"0AHCYFCMFCBL"	
"Grauwe monnik"	"isPreferredNameOf"	"Dutch"	"Cucullia umbratica (Linnaeus, 1758)"	"0AHCYFCLTMZJ"	
"Kuifvlinder"	"isPreferredNameOf"	"Dutch"	"Cucullia verbasci (Linnaeus, 1758)"	"0AHCYFCMFDCP"	
"Shargacucullia verbasci (Linnaeus, 1758)"	"isSynonymOf"	"Scientific"	"Cucullia verbasci (Linnaeus, 1758)"	"0AHCYFCMFDCP"	
"Koekoek"	"isPreferredNameOf"	"Dutch"	"Cuculus canorus Linnaeus, 1758"	"000464941096"	
"Steekmug"	"isPreferredNameOf"	"Dutch"	"Culex pipiens Linnaeus, 1758"	"0AHCYFBFREUT"	
"Culicoides odibilis Austen, 1921"	"isSynonymOf"	"Scientific"	"Culicoides festivipennis Kieffer, 1914"	"0AHCYFBDWEZM"	
"Culicoides odilis Austen, 1921"	"isSynonymOf"	"Scientific"	"Culicoides festivipennis Kieffer, 1914"	"0AHCYFBDWEZM"	
"Culicoides cubitalis Edwards, 1939"	"isSynonymOf"	"Scientific"	"Culicoides kibunensis Tokunaga, 1937"	"0AHCYFBDWHAX"	
"Culicoides pumilus (Winnertz, 1852)"	"isSynonymOf"	"Scientific"	"Culicoides minutissimus (Zetterstedt, 1855)"	"0AHCYFBDWIBP"	
"Culicoides halophilus Kieffer, 1924"	"isSynonymOf"	"Scientific"	"Culicoides newsteadi Austen, 1921"	"000000025238"	
"Culicoides varius (Winnertz, 1852)"	"isSynonymOf"	"Scientific"	"Culicoides obsoletus (Meigen, 1818)"	"0AHCYFBDWKDA"	
"Culicoides arcuatus (Winnertz, 1852)"	"isSynonymOf"	"Scientific"	"Culicoides pictipennis (Staeger, 1839)"	"0AHCYFBDWNFE"	
"Culicoides punctatidorsum (Kieffer, 1924)"	"isSynonymOf"	"Scientific"	"Culicoides salinarius Kieffer, 1914"	"0AHCYFBDWSJD"	
"Grote steekmug"	"isPreferredNameOf"	"Dutch"	"Culiseta annulata (Schrank, 1776)"	"0AHCYFBFRLRG"	
"Culiseta theobaldi (De Meijere, 1911)"	"isSynonymOf"	"Scientific"	"Culiseta fumipennis (Stephens, 1825)"	"0AHCYFBFRMRZ"	
"Cultroribula falcata Evans, 1952"	"isSynonymOf"	"Scientific"	"Cultroribula bicultrata (Berlese, 1904)"	"0IJWTIHPNSGN"	
"Cultroribula szent-ivanovi Balogh, 1943"	"isSynonymOf"	"Scientific"	"Cultroribula bicultrata (Berlese, 1904)"	"0IJWTIHPNSGN"	
"Cultroribula trifurcata Jacot, 1939"	"isSynonymOf"	"Scientific"	"Cultroribula bicultrata (Berlese, 1904)"	"0IJWTIHPNSGN"	
"Cultroribula trifurcata rotundata Krivolutski, 1962"	"isSynonymOf"	"Scientific"	"Cultroribula bicultrata (Berlese, 1904)"	"0IJWTIHPNSGN"	
"Goudstipje"	"isPreferredNameOf"	"Dutch"	"Cumanotus beaumonti (Eliot, 1906)"	"0LHYVNO9FB56"	
"Cumopsis goodsiri (Van Beneden, 1861)"	"isSynonymSLOf"	"Scientific"	"Cumopsis goodsir (Van Beneden, 1861)"	"0AHCYSI11606"	
"Witstreepgaasvlieg"	"isPreferredNameOf"	"Dutch"	"Cunctochrysa albolineata (Killington, 1935)"	"0AHCXTPDLBDY"	
"Staartblauwtje"	"isPreferredNameOf"	"Dutch"	"Cupido argiades (Pallas, 1771)"	"0AHCYSRJXZHD"	
"Dwergblauwtje"	"isPreferredNameOf"	"Dutch"	"Cupido minimus (Fuessly, 1775)"	"000464895946"	
"Cipreszaadgalmug"	"isPreferredNameOf"	"Dutch"	"Cupressatia siskiyou (Felt, 1917)"	"0AHCYFBDLPQA"	
"Craneioba lawsonianae De Meijere, 1935"	"isSynonymOf"	"Scientific"	"Cupressatia siskiyou (Felt, 1917)"	"0AHCYFBDLPQA"	
"Janetiella lawsonianae (De Meijere, 1935)"	"isSynonymOf"	"Scientific"	"Cupressatia siskiyou (Felt, 1917)"	"0AHCYFBDLPQA"	
"Janetiella siskiyou Felt, 1917"	"isSynonymOf"	"Scientific"	"Cupressatia siskiyou (Felt, 1917)"	"0AHCYFBDLPQA"	
"Zaadgalmug"	"isAlternativeNameOf"	"Dutch"	"Cupressatia siskiyou (Felt, 1917)"	"0AHCYFBDLPQA"	
"Eikelsnuitkever"	"isAlternativeNameOf"	"Dutch"	"Curculio glandium Marsham, 1802"	"0AHCYFBTDZZT"	
"Kleine eikelboorder"	"isPreferredNameOf"	"Dutch"	"Curculio glandium Marsham, 1802"	"0AHCYFBTDZZT"	
"Hazelnootboorder"	"isPreferredNameOf"	"Dutch"	"Curculio nucum Linnaeus, 1758"	"0AHCYFBTEBAM"	
"Hazelnootsnuitkever"	"isAlternativeNameOf"	"Dutch"	"Curculio nucum Linnaeus, 1758"	"0AHCYFBTEBAM"	
"Hazelnotensnuitkever"	"isAlternativeNameOf"	"Dutch"	"Curculio nucum Linnaeus, 1758"	"0AHCYFBTEBAM"	
"Eikelboorder"	"isAlternativeNameOf"	"Dutch"	"Curculio venosus (Gravenhorst, 1807)"	"0AHCYFBTEGEL"	
"Grote eikelboorder"	"isPreferredNameOf"	"Dutch"	"Curculio venosus (Gravenhorst, 1807)"	"0AHCYFBTEGEL"	
"Eikengalboorder"	"isPreferredNameOf"	"Dutch"	"Curculio villosus Fabricius, 1781"	"0AHCYFBTEHFE"	
"Ephistemus exiguus Erichson, 1846"	"isSynonymOf"	"Scientific"	"Curelius exiguus (Erichson, 1846)"	"0AHCYFBSWYSJ"	
"Syncalypta paleata Erichson, 1846"	"isSynonymOf"	"Scientific"	"Curimopsis paleata (Erichson, 1846)"	"0AHCYFBQSCSQ"	
"Syncalypta setosa (Waltl, 1838)"	"isSynonymOf"	"Scientific"	"Curimopsis setosa (Waltl, 1838)"	"0AHCYFBQSDOX"	
"Renvogel"	"isPreferredNameOf"	"Dutch"	"Cursorius cursor (Latham, 1787)"	"000464941103"	
"Pollepelschelp"	"isPreferredNameOf"	"Dutch"	"Cuspidaria cuspidata (Olivi, 1792)"	"0SHUQL7DH3IA"	
"Zeerasp-knotsslak"	"isPreferredNameOf"	"Dutch"	"Cuthona nana (Alder & Hancock, 1842)"	"0AHCYSI11327"	
"Cuthona concinna (Alder & Hancock, 1843)"	"isSynonymOf"	"Scientific"	"Cuthonella concinna (Alder & Hancock, 1843)"	"0AHCYSI11329"	
"Trinchesia concinna (Alder & Hancock, 1843)"	"isSynonymSLOf"	"Scientific"	"Cuthonella concinna (Alder & Hancock, 1843)"	"0AHCYSI11329"	
"Zilverblauwe knotsslak"	"isPreferredNameOf"	"Dutch"	"Cuthonella concinna (Alder & Hancock, 1843)"	"0AHCYSI11329"	
"Lathyrussnuitkever"	"isPreferredNameOf"	"Dutch"	"Cyanapion columbinum (Germar, 1817)"	"0AHCYFBQKGNG"	
"Vogelwikkespitsmuisje"	"isPreferredNameOf"	"Dutch"	"Cyanapion gyllenhalii (Kirby, 1808)"	"0AHCYFBQKHNZ"	
"Gele haarkwal"	"isPreferredNameOf"	"Dutch"	"Cyanea capillata (Linnaeus, 1758)"	"0AHCYSI11452"	
"Blauwe haarkwal"	"isPreferredNameOf"	"Dutch"	"Cyanea lamarckii Péron & Lesueur, 1810"	"0AHCYSI11451"	
"Aricia semiargus (Rottemburg, 1775)"	"isSynonymOf"	"Scientific"	"Cyaniris semiargus (Rottemburg, 1775)"	"000464896258"	
"Klaverblauwtje"	"isPreferredNameOf"	"Dutch"	"Cyaniris semiargus (Rottemburg, 1775)"	"000464896258"	
"Polyommatus semiargus (Rottemburg, 1775)"	"isSynonymOf"	"Scientific"	"Cyaniris semiargus (Rottemburg, 1775)"	"000464896258"	
"Parus caeruleus Linnaeus, 1758"	"isSynonymOf"	"Scientific"	"Cyanistes caeruleus (Linnaeus, 1758)"	"000464944238"	
"Pimpelmees"	"isPreferredNameOf"	"Dutch"	"Cyanistes caeruleus (Linnaeus, 1758)"	"000464944238"	
"Azuurmees"	"isPreferredNameOf"	"Dutch"	"Cyanistes cyanus (Pallas, 1770)"	"0IWSVO6ONY4G"	
"Blauwvleugelgans"	"isPreferredNameOf"	"Dutch"	"Cyanochen cyanoptera (Rüppell, 1845)"	"0O77ATRN24CC"	
"Lijnpissebed"	"isPreferredNameOf"	"Dutch"	"Cyathura carinata (Kroyer, 1848)"	"0AHCYFAOPYGF"	
"Breedgerande waterroofkever"	"isAlternativeNameOf"	"Dutch"	"Cybister lateralimarginalis (De Geer, 1774)"	"0AHCYFBUAEUQ"	
"Tuimelaar"	"isPreferredNameOf"	"Dutch"	"Cybister lateralimarginalis (De Geer, 1774)"	"0AHCYFBUAEUQ"	
"Vierstipbeertje"	"isPreferredNameOf"	"Dutch"	"Cybosia mesomella (Linnaeus, 1758)"	"0AHCYFCHTQDG"	
"Gele bloemkevertje"	"isAlternativeNameOf"	"Dutch"	"Cychramus luteus (Fabricius, 1787)"	"0AHCYFBVODEB"	
"Gele grote glanskever"	"isAlternativeNameOf"	"Dutch"	"Cychramus luteus (Fabricius, 1787)"	"0AHCYFBVODEB"	
"Grote gele glanskever"	"isPreferredNameOf"	"Dutch"	"Cychramus luteus (Fabricius, 1787)"	"0AHCYFBVODEB"	
"Langkoploopkever"	"isAlternativeNameOf"	"Dutch"	"Cychrus caraboides (Linnaeus, 1758)"	"0AHCYFBREFRT"	
"Lederslakkenloopkever"	"isPreferredNameOf"	"Dutch"	"Cychrus caraboides (Linnaeus, 1758)"	"0AHCYFBREFRT"	
"Slakkeneter"	"isAlternativeNameOf"	"Dutch"	"Cychrus caraboides (Linnaeus, 1758)"	"0AHCYFBREFRT"	
"Slakkenloopkever"	"isAlternativeNameOf"	"Dutch"	"Cychrus caraboides (Linnaeus, 1758)"	"0AHCYFBREFRT"	
"Berkenoogspanner"	"isPreferredNameOf"	"Dutch"	"Cyclophora albipunctata (Hufnagel, 1767)"	"0AHCYFCJXPVU"	
"Nekspindertje"	"isPreferredNameOf"	"Dutch"	"Cyclophora annularia (Fabricius, 1775)"	"0AHCYFCJXRAY"	
"Gele oogspanner"	"isPreferredNameOf"	"Dutch"	"Cyclophora linearia (Hübner, 1799)"	"0AHCYFCJXSXY"	
"Gemarmerde oogspanner"	"isPreferredNameOf"	"Dutch"	"Cyclophora pendularia (Clerck, 1759)"	"0AHCYFCJYETN"	
"Eikenoogspanner"	"isPreferredNameOf"	"Dutch"	"Cyclophora porata (Linnaeus, 1767)"	"0AHCYFCJYGQM"	
"Gestippelde oogspanner"	"isPreferredNameOf"	"Dutch"	"Cyclophora punctaria (Linnaeus, 1758)"	"0AHCYFCJYHRF"	
"Oranjerode oogspanner"	"isPreferredNameOf"	"Dutch"	"Cyclophora puppillaria (Hübner, 1799)"	"0AHCYFCJYJJS"	
"Bruine oogspanner"	"isPreferredNameOf"	"Dutch"	"Cyclophora quercimontaria (Bastelberger, 1897)"	"0AHCYFCJYKXU"	
"Geelbruine oogspanner"	"isPreferredNameOf"	"Dutch"	"Cyclophora ruficiliaria (Herrich-Schäffer, 1855)"	"0AHCYFCJYOSE"	
"Cyclops furcifer Claus, 1857"	"isSynonymOf"	"Scientific"	"Cyclops strenuus Fischer, 1851"	"0AHCYSI04225"	
"Snotolf"	"isPreferredNameOf"	"Dutch"	"Cyclopterus lumpus Linnaeus, 1758"	"000455863925"	
"Kegelspin"	"isPreferredNameOf"	"Dutch"	"Cyclosa conica (Pallas, 1772)"	"0AHCYFOOCSSW"	
"Zesknobbelspin"	"isPreferredNameOf"	"Dutch"	"Cyclosa oculata (Walckenaer, 1802)"	"0AHCYFOOCTGR"	
"Buxusmot"	"isPreferredNameOf"	"Dutch"	"Cydalima perspectalis (Walker, 1859)"	"000000020511"	
